polymer_tg,rf,5,0.15823
polymer_tg,gp_ard,6,0.18492
polymer_tg,knn,6,0.19260
polymer_tg,sv,6,0.15759
qm9_cv,gp_ard,6,0.11961
qm9_cv,sv,6,0.45144
polymer_tg,gp,6,0.10487
qm9_cv,gp,6,0.06683
polymer_tg,nn,6,0.09767
qm9_cv,knn,7,0.30896
qm9_cv,rf,6,0.24191
polymer_tg,rf,6,0.13598
qm9_cv,nn,7,0.08948
polymer_tg,gp_ard,7,0.17185
polymer_tg,knn,7,0.18681
qm9_cv,knn,8,0.31674
polymer_tg,sv,7,0.15921
qm9_cv,gp_ard,7,0.10507
qm9_cv,nn,8,0.09796
qm9_cv,sv,7,0.45083
qm9_cv,rf,7,0.22308
polymer_tg,gp,7,0.09846
polymer_tg,nn,7,0.15261
qm9_cv,knn,9,0.33338
qm9_cv,gp,7,0.07561
polymer_tg,rf,7,0.13670
qm9_cv,gp_ard,8,0.15459
polymer_tg,gp_ard,8,0.18450
polymer_tg,knn,8,0.19316
qm9_cv,nn,9,0.06906
qm9_cv,sv,8,0.46004
qm9_cv,rf,8,0.24641
polymer_tg,sv,8,0.16969
qm9_cv,gp_ard,9,0.12164
qm9_cv,gp,8,0.08465
qm9_cv,sv,9,0.42021
qm9_cv,rf,9,0.22355
polymer_tg,gp,8,0.11103
polymer_tg,nn,8,0.17552
polymer_tg,rf,8,0.14318
polymer_tg,knn,9,0.17868
polymer_tg,gp_ard,9,0.17500
qm9_cv,gp,9,0.07754
polymer_tg,sv,9,0.15234
polymer_tg,rf,9,0.13219
polymer_tg,nn,9,0.18139
polymer_tg,gp,9,0.10015
esol,gbt,1,0.19470
perovskite_h_adsorp,gbt,1,0.04151
lipo,gbt,1,0.22774
esol,gbt,2,0.19696
lipo,gbt,2,0.15487
perovskite_h_adsorp,gbt,2,0.11284
esol,gbt,3,0.19939
lipo,gbt,3,0.14875
perovskite_h_adsorp,gbt,3,-0.19665
esol,gbt,4,0.17673
lipo,gbt,4,0.14872
perovskite_h_adsorp,gbt,4,-0.18345
esol,gbt,5,0.17631
lipo,gbt,5,0.16491
perovskite_h_adsorp,gbt,5,0.00156
esol,gbt,6,0.21606
lipo,gbt,6,0.16150
perovskite_h_adsorp,gbt,6,0.04631
lipo,gbt,7,0.18409
esol,gbt,7,0.19914
perovskite_h_adsorp,gbt,7,-0.00624
esol,gbt,8,0.18411
lipo,gbt,8,0.18390
perovskite_h_adsorp,gbt,8,0.08030
qm9_cv,gbt,1,0.23998
esol,gbt,9,0.17538
lipo,gbt,9,0.12745
perovskite_h_adsorp,gbt,9,-0.06638
polymer_tg,gbt,1,0.11555
qm9_cv,gbt,2,0.22034
polymer_tg,gbt,2,0.13122
qm9_cv,gbt,3,0.23189
polymer_tg,gbt,3,0.10659
qm9_cv,gbt,4,0.22394
polymer_tg,gbt,4,0.09539
qm9_cv,gbt,5,0.22783
polymer_tg,gbt,5,0.14954
qm9_cv,gbt,6,0.22014
polymer_tg,gbt,6,0.11353
qm9_cv,gbt,7,0.20513
qm9_cv,gbt,8,0.23758
polymer_tg,gbt,7,0.11840
qm9_cv,gbt,9,0.21918
polymer_tg,gbt,8,0.12616
polymer_tg,gbt,9,0.10446
