path,coverage
freesolv-ensemble-100-7.npy,196918.7606848066
polygas_He-hallucinate-100-5.npy,702377.0529978964
polygas_CO2-ensemble-100-6.npy,595606.3446957194
polygas_CH4-top-100-5.npy,3119679.912390343
polygas_H2-top-100-0.npy,3019460.325363594
logp-penultimate-100-7.npy,31330144.88428156
polygas_O2-embedding-100-7.npy,728985.7299957729
freesolv-top-100-5.npy,700716.927156449
chain_gap-penultimate-100-2.npy,3012947.2204913716
sublimation-hallucinate-100-2.npy,1132591.752050172
freesolv-ensemble-100-5.npy,1264710.19341325
polymer_o2-embedding-100-4.npy,1615958.8002054244
bace-penultimate-100-7.npy,1355431.3890379395
polygas_N2-ensemble-100-3.npy,576469.3443286924
polygas_CO2-penultimate-100-0.npy,649245.2780649138
polygas_CH4-embedding-100-8.npy,659560.606473299
polymer_density-top-100-3.npy,12257954.427009337
polygas_He-random-100-3.npy,1082949.199534244
polygas_O2-ensemble-100-1.npy,640313.3822002392
freesolv-embedding-100-3.npy,223365.15662263223
polygas_CH4-penultimate-100-0.npy,675801.8962479129
polygas_CO2-penultimate-100-1.npy,649920.1390194783
polygas_H2-hallucinate-100-8.npy,740802.2736743479
polymer_o2-top-100-8.npy,4619827.714087347
polygas_He-hallucinate-100-0.npy,841312.7096692219
freesolv-hallucinate-100-6.npy,207862.81479838188
polygas_O2-embedding-100-2.npy,701978.3781550117
esol-penultimate-100-3.npy,642921.284812737
polymer_mt-embedding-100-1.npy,3671922.243230494
polygas_CH4-ensemble-100-5.npy,726567.9843996704
polygas_CO2-embedding-100-9.npy,996403.0349187315
sublimation-ensemble-100-6.npy,1175252.3309513757
freesolv-top-100-3.npy,753196.3323854043
polygas_H2-embedding-100-6.npy,634864.4287028001
polygas_O2-random-100-9.npy,986606.4605324962
polygas_N2-top-100-1.npy,3294720.622584694
bace-random-100-1.npy,1481766.9706755402
polygas_He-hallucinate-100-3.npy,673296.737092921
polygas_CH4-random-100-1.npy,811996.0311352639
freesolv-hallucinate-100-4.npy,231384.76667312268
polymer_o2-ensemble-100-1.npy,1286184.2331199667
polymer_mt-top-100-0.npy,56011835.857897505
polygas_O2-penultimate-100-3.npy,720712.0283214574
esol-random-100-6.npy,767536.5776093493
polygas_CO2-top-100-2.npy,4226337.504967738
polymer_density-random-100-3.npy,2195602.93720356
freesolv-random-100-9.npy,255245.8524901098
polygas_N2-hallucinate-100-5.npy,681019.99540683
polygas_CH4-embedding-100-0.npy,703632.770356628
sublimation-random-100-7.npy,1409444.3329547397
polygas_He-hallucinate-100-6.npy,632008.7352309157
chain_gap-random-100-2.npy,3385732.9600748727
polymer_o2-random-100-6.npy,1449828.2342830496
polygas_O2-penultimate-100-8.npy,676939.4052299613
freesolv-top-100-6.npy,3834659.317509729
freesolv-embedding-100-5.npy,270358.5779487373
polygas_H2-top-100-5.npy,2642854.257609061
polygas_CH4-ensemble-100-9.npy,606028.0233685088
polygas_N2-penultimate-100-2.npy,643255.7679994643
chain_gap-top-100-9.npy,17448851.00092834
polygas_O2-random-100-2.npy,826581.2543653989
polygas_He-embedding-100-4.npy,583923.4423147845
sublimation-top-100-9.npy,3808755.925977878
freesolv-hallucinate-100-5.npy,204526.601665736
polymer_o2-top-100-6.npy,5462703.084937042
polygas_CO2-top-100-0.npy,3070119.4945392525
polygas_CH4-embedding-100-7.npy,826843.1102142192
freesolv-embedding-100-6.npy,1340391.5070210171
bace-random-100-5.npy,1711143.561039053
lipo-ensemble-100-4.npy,4364692.173331644
polymer_tg-random-100-2.npy,18142017.047974084
freesolv-random-100-8.npy,342355.0833303214
polygas_O2-hallucinate-100-1.npy,808707.8814277593
polygas_CO2-random-100-2.npy,760906.0019438313
polymer_o2-penultimate-100-0.npy,1551983.8048584769
polygas_CH4-ensemble-100-1.npy,679699.301140818
bace-top-100-0.npy,8361574.619210046
freesolv-embedding-100-2.npy,257537.6561658433
freesolv-top-100-0.npy,3323859.324898182
polygas_H2-top-100-7.npy,4483074.7871210985
logp-ensemble-100-6.npy,28996751.039089948
polygas_CO2-random-100-9.npy,984439.8064556957
polygas_O2-embedding-100-6.npy,721882.5484981696
sublimation-random-100-2.npy,1520198.634251461
freesolv-random-100-5.npy,312713.14831323794
polygas_CH4-hallucinate-100-1.npy,731073.9693561017
polygas_N2-top-100-0.npy,2871259.0595495445
freesolv-random-100-4.npy,1073467.6042464534
polygas_CO2-hallucinate-100-4.npy,609391.4588924258
polygas_He-top-100-4.npy,4750653.625315253
polygas_O2-embedding-100-9.npy,813400.0972206808
polymer_tg-top-100-8.npy,136869626.247118
polymer_o2-hallucinate-100-1.npy,1477484.5660712118
polymer_density-ensemble-100-5.npy,2248117.2637137193
freesolv-penultimate-100-4.npy,268184.8863955363
polygas_H2-random-100-0.npy,794504.4642163903
polygas_CH4-embedding-100-9.npy,692289.4699848898
polygas_N2-hallucinate-100-4.npy,623461.1500744063
polygas_CO2-penultimate-100-5.npy,661130.9509800586
freesolv-embedding-100-0.npy,293969.7802972116
polygas_He-random-100-7.npy,951212.8389191092
sublimation-penultimate-100-3.npy,1446039.2364011128
polymer_o2-penultimate-100-5.npy,1543284.885486994
polygas_CH4-random-100-2.npy,724910.6357450078
chain_gap-random-100-3.npy,3097097.255728349
polygas_H2-penultimate-100-2.npy,854627.8186284396
bace-random-100-4.npy,1572414.905203676
esol-embedding-100-6.npy,792231.3520748683
polymer_mt-embedding-100-9.npy,4160207.3917319225
freesolv-random-100-6.npy,303672.68802883243
polygas_CO2-ensemble-100-9.npy,594962.8645264294
polygas_N2-ensemble-100-9.npy,650192.0574969299
polygas_O2-top-100-1.npy,3668515.5971684456
polymer_tg-top-100-7.npy,131012960.72056828
polygas_CH4-penultimate-100-9.npy,762456.81111228
freesolv-ensemble-100-3.npy,188194.71176595183
polymer_o2-top-100-9.npy,5120537.5617759535
esol-top-100-5.npy,3560348.7401005877
polygas_O2-ensemble-100-9.npy,558329.4507853622
polygas_CH4-hallucinate-100-9.npy,686745.8283146757
sublimation-top-100-7.npy,4247850.105703958
polygas_H2-hallucinate-100-6.npy,908925.6429923922
polygas_N2-embedding-100-3.npy,937064.0752150132
freesolv-hallucinate-100-8.npy,229583.18860736984
polygas_O2-ensemble-100-7.npy,714580.7448848499
esol-top-100-8.npy,2818944.368810295
polygas_CH4-ensemble-100-2.npy,581795.0005687966
polygas_CO2-top-100-6.npy,3252253.8953511
polygas_He-top-100-7.npy,4564498.935980753
polymer_density-random-100-8.npy,2147113.4519833717
bace-hallucinate-100-2.npy,1464050.8089642362
freesolv-ensemble-100-1.npy,200450.78806594355
polymer_o2-hallucinate-100-5.npy,1707225.0408773203
polygas_O2-ensemble-100-2.npy,619202.4153024206
polygas_N2-hallucinate-100-7.npy,802723.8020425421
polygas_CO2-embedding-100-6.npy,557006.2772118786
freesolv-hallucinate-100-0.npy,1220947.2785849464
sublimation-penultimate-100-0.npy,1551126.5162859994
polygas_CH4-ensemble-100-8.npy,548413.1177574064
polygas_H2-top-100-6.npy,3114256.1548851663
freesolv-ensemble-100-9.npy,198343.4997830421
polygas_He-embedding-100-1.npy,834066.8422996145
polygas_O2-ensemble-100-8.npy,607237.7934141296
chain_gap-random-100-4.npy,3529224.5398821477
freesolv-top-100-2.npy,720542.9738782175
polygas_H2-ensemble-100-9.npy,607026.0803617017
polygas_N2-embedding-100-7.npy,687046.9991412371
polygas_O2-embedding-100-3.npy,838097.5187817918
polygas_CO2-top-100-1.npy,3352062.6114124767
polygas_CH4-top-100-8.npy,5427639.791224508
esol-penultimate-100-2.npy,821640.0369912556
polymer_o2-ensemble-100-4.npy,1336753.1241391078
freesolv-penultimate-100-8.npy,311062.2765270226
sublimation-ensemble-100-9.npy,1195207.5800237693
bace-ensemble-100-8.npy,1160071.8846657018
chain_gap-top-100-3.npy,19512287.241793834
polymer_mt-penultimate-100-8.npy,3746164.830438172
logp-embedding-100-8.npy,29014691.156534225
polygas_O2-random-100-3.npy,1128514.5492796332
polymer_density-penultimate-100-0.npy,2162531.953808206
polygas_He-top-100-2.npy,3236914.0544078164
polymer_o2-random-100-4.npy,1822823.095759416
bace-top-100-3.npy,8863475.246090949
polygas_CO2-top-100-5.npy,2485839.5911998195
polygas_CH4-top-100-1.npy,3431275.4158854657
sublimation-top-100-0.npy,4560696.607871033
esol-random-100-3.npy,843421.6332014569
polygas_N2-top-100-7.npy,3508814.3671803004
polygas_He-ensemble-100-0.npy,666781.6055127801
polygas_O2-top-100-4.npy,4874970.290693834
polygas_CO2-random-100-4.npy,888632.9006009423
polygas_CH4-hallucinate-100-8.npy,733679.9729994109
polymer_density-top-100-1.npy,14579680.738875177
polymer_o2-ensemble-100-7.npy,1452394.5046028292
lipo-random-100-2.npy,5535205.248778032
polygas_N2-ensemble-100-5.npy,719193.3110855496
polygas_H2-top-100-9.npy,3375132.4095657044
polygas_O2-penultimate-100-9.npy,650089.9643548948
polygas_CH4-ensemble-100-0.npy,630202.26968979
polygas_CO2-penultimate-100-4.npy,751456.3450596859
polygas_He-random-100-9.npy,940675.6026206536
sublimation-hallucinate-100-5.npy,1145204.8549536432
polygas_CO2-hallucinate-100-8.npy,734997.5160196909
esol-ensemble-100-5.npy,605297.4271154765
polymer_o2-top-100-4.npy,5671193.258455143
polygas_N2-hallucinate-100-6.npy,695257.9623797755
polygas_CH4-hallucinate-100-5.npy,808153.1873872449
chain_gap-embedding-100-3.npy,2921569.021421002
bace-penultimate-100-6.npy,1586047.9291555583
polygas_H2-ensemble-100-6.npy,561851.9450266103
polygas_He-ensemble-100-7.npy,904986.3024964893
polygas_O2-top-100-6.npy,3349640.979825617
polygas_CO2-penultimate-100-8.npy,724560.2753456542
