Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
qm9_zpve,ensemble,none,none,none,9,100,0.84853,0.29816,0.38919,0.38919,0.92311,0.91354
polygas_He,embedding,none,none,none,3,100,0.71891,0.31175,0.53018,0.53018,0.84965,0.86965
qm9_r2,embedding,none,none,none,7,100,0.46011,0.52053,0.73477,0.73477,0.69178,0.66184
qm9_g298,ensemble,none,none,none,7,100,0.52114,0.5127,0.692,0.692,0.72276,0.72966
logp,embedding,none,none,none,2,100,0.4888,0.51892,0.71498,0.71498,0.70276,0.70247
qm9_g298,random,none,none,none,2,100,0.54794,0.48505,0.67235,0.67235,0.75151,0.78109
qm9_alpha,ensemble,none,none,none,8,100,0.53924,0.4913,0.67879,0.67879,0.74386,0.74743
sublimation,penultimate,none,none,none,6,100,0.60966,0.42756,0.62477,0.62477,0.79079,0.79417
logp,random,none,none,none,5,100,0.51397,0.50839,0.69716,0.69716,0.73505,0.73287
qm9_u0,random,none,none,none,1,100,0.55008,0.48421,0.67076,0.67076,0.74712,0.76551
polygas_O2,ensemble,none,none,none,2,100,0.73151,0.31686,0.51816,0.51816,0.86335,0.86661
polygas_O2,embedding,none,none,none,7,100,0.66352,0.36438,0.58007,0.58007,0.83051,0.8364
polygas_N2,random,none,none,none,2,100,0.74018,0.31109,0.50973,0.50973,0.86346,0.86661
polygas_O2,random,none,none,none,9,100,0.73966,0.31675,0.51023,0.51023,0.86909,0.8729
chain_gap,random,none,none,none,8,100,0.6919,0.37999,0.55507,0.55507,0.84242,0.85887
polygas_CH4,ensemble,none,none,none,8,100,0.71813,0.3098,0.53091,0.53091,0.85095,0.85002
polymer_o2,ensemble,none,none,none,9,100,0.725,0.19459,0.52441,0.52441,0.86633,0.35235
polymer_tg,penultimate,none,none,none,6,100,0.67127,0.42266,0.57335,0.57335,0.83249,0.84072
polymer_o2,ensemble,none,none,none,2,100,0.57515,0.211,0.65181,0.65181,0.76016,0.20885
esol,hallucinate,none,none,none,1,100,0.74906,0.37445,0.50094,0.50094,0.86952,0.85476
qm9_gap,embedding,none,none,none,8,100,0.71989,0.40825,0.52925,0.52925,0.8529,0.86398
qm9_g298,ensemble,none,none,none,2,100,0.56831,0.50197,0.65703,0.65703,0.762,0.7372
polygas_CH4,random,none,none,none,3,100,0.70994,0.33977,0.53857,0.53857,0.8525,0.85671
qm9_cv,random,none,none,none,4,100,0.72953,0.39924,0.52007,0.52007,0.85842,0.85711
logp,random,none,none,none,0,100,0.50113,0.52276,0.70631,0.70631,0.71199,0.70534
freesolv,penultimate,none,none,none,9,100,0.77606,0.287,0.47322,0.47322,0.88749,0.91489
polygas_CH4,penultimate,none,none,none,7,100,0.77451,0.29451,0.47485,0.47485,0.8823,0.8759
qm9_alpha,embedding,none,none,none,0,100,0.4948,0.52663,0.71077,0.71077,0.70702,0.71843
polygas_O2,random,none,none,none,5,100,0.79703,0.29041,0.45052,0.45052,0.89367,0.89931
lipo,ensemble,none,none,none,2,100,0.24701,0.68198,0.86775,0.86775,0.50563,0.44703
esol,random,none,none,none,0,100,0.74602,0.36028,0.50396,0.50396,0.86415,0.86661
qm9_zpve,penultimate,none,none,none,6,100,0.82611,0.32234,0.417,0.417,0.91724,0.91557
polymer_density,hallucinate,none,none,none,7,100,0.47278,0.47146,0.7261,0.7261,0.70173,0.723
polymer_o2,penultimate,none,none,none,6,100,0.10765,0.18595,0.94464,0.94464,0.51528,0.34529
qm9_r2,penultimate,none,none,none,8,100,0.4835,0.53042,0.71868,0.71868,0.69567,0.65225
polygas_H2,ensemble,none,none,none,3,100,0.71819,0.33244,0.53086,0.53086,0.84996,0.85742
lipo,ensemble,none,none,none,3,100,0.13836,0.73473,0.92824,0.92824,0.42108,0.39161
polygas_O2,hallucinate,none,none,none,4,100,0.75377,0.30159,0.49622,0.49622,0.87053,0.88607
qm9_u0,embedding,none,none,none,1,100,0.47437,0.51998,0.725,0.725,0.70235,0.71094
qm9_lumo,ensemble,none,none,none,2,100,0.76921,0.37293,0.48041,0.48041,0.8793,0.87895
esol,embedding,none,none,none,3,100,0.82343,0.3006,0.42021,0.42021,0.90863,0.90967
qm9_u298,random,none,none,none,7,100,0.46412,0.50646,0.73204,0.73204,0.68626,0.71579
polygas_H2,ensemble,none,none,none,2,100,0.75244,0.30138,0.49755,0.49755,0.86758,0.87573
qm9_u0,ensemble,none,none,none,0,100,0.59234,0.46037,0.63848,0.63848,0.77581,0.79089
esol,penultimate,none,none,none,2,100,0.78529,0.344,0.46337,0.46337,0.88632,0.8759
sublimation,ensemble,none,none,none,4,100,0.71617,0.35514,0.53276,0.53276,0.84903,0.84439
qm9_alpha,embedding,none,none,none,1,100,0.43728,0.54422,0.75015,0.75015,0.6625,0.68377
polygas_CO2,random,none,none,none,0,100,0.7445,0.32015,0.50547,0.50547,0.86627,0.86901
pcqm4mv2_small,ensemble,none,none,none,6,100,0.59718,0.4778,0.63468,0.63468,0.77477,0.75141
polymer_tg,ensemble,none,none,none,0,100,0.68169,0.42838,0.56419,0.56419,0.8445,0.85313
qm9_homo,ensemble,none,none,none,8,100,0.42505,0.57734,0.75825,0.75825,0.65344,0.55843
polygas_N2,hallucinate,none,none,none,3,100,0.75411,0.31124,0.49588,0.49588,0.86945,0.88211
qm9_g298,embedding,none,none,none,2,100,0.42622,0.56013,0.75748,0.75748,0.65462,0.67761
pcqm4mv2_small,penultimate,none,none,none,7,100,0.53648,0.51203,0.68083,0.68083,0.73264,0.73365
qm9_u0,penultimate,none,none,none,0,100,0.55183,0.47706,0.66945,0.66945,0.74372,0.76435
freesolv,ensemble,none,none,none,8,100,0.80755,0.30777,0.4387,0.4387,0.90756,0.89811
qm9_g298,penultimate,none,none,none,7,100,0.44888,0.5636,0.74238,0.74238,0.72559,0.73894
polygas_CH4,hallucinate,none,none,none,9,100,0.76568,0.29159,0.48407,0.48407,0.87523,0.87968
qm9_g298,random,none,none,none,6,100,0.53077,0.51393,0.685,0.685,0.74937,0.76738
qm9_cv,random,none,none,none,3,100,0.63747,0.45157,0.60211,0.60211,0.79997,0.80433
polygas_CH4,random,none,none,none,2,100,0.71926,0.33685,0.52985,0.52985,0.85518,0.85533
polymer_o2,penultimate,none,none,none,1,100,0.4392,0.32104,0.74887,0.74887,0.75222,0.21227
polygas_CO2,random,none,none,none,7,100,0.64536,0.36318,0.59552,0.59552,0.81376,0.81862
qm9_cv,ensemble,none,none,none,7,100,0.67529,0.43887,0.56983,0.56983,0.8259,0.8242
polygas_CO2,penultimate,none,none,none,7,100,0.72238,0.33245,0.52689,0.52689,0.85223,0.87096
polymer_tg,random,none,none,none,3,100,0.73718,0.37941,0.51266,0.51266,0.86077,0.86559
qm9_g298,penultimate,none,none,none,1,100,0.50061,0.49806,0.70668,0.70668,0.71499,0.75071
qm9_cv,random,none,none,none,2,100,0.67151,0.43307,0.57314,0.57314,0.82065,0.81989
qm9_cv,random,none,none,none,6,100,0.63806,0.45501,0.60161,0.60161,0.80006,0.803
freesolv,random,none,none,none,9,100,0.83496,0.27477,0.40625,0.40625,0.91382,0.90079
polygas_N2,random,none,none,none,8,100,0.66803,0.35082,0.57617,0.57617,0.82217,0.83635
polygas_N2,random,none,none,none,6,100,0.7505,0.32092,0.4995,0.4995,0.87275,0.86672
polygas_H2,random,none,none,none,9,100,0.72311,0.32823,0.52621,0.52621,0.86205,0.8719
polygas_CO2,random,none,none,none,5,100,0.72062,0.31563,0.52857,0.52857,0.85191,0.85716
polymer_o2,random,none,none,none,2,100,0.37658,0.32772,0.78957,0.78957,0.82894,0.24542
polygas_H2,random,none,none,none,7,100,0.63231,0.36734,0.60637,0.60637,0.80599,0.81349
polygas_N2,random,none,none,none,0,100,0.75259,0.30868,0.4974,0.4974,0.87174,0.87132
esol,random,none,none,none,2,100,0.79388,0.33404,0.454,0.454,0.89808,0.89288
esol,random,none,none,none,4,100,0.80134,0.32286,0.44572,0.44572,0.89543,0.89696
polymer_density,random,none,none,none,6,100,0.54415,0.40435,0.67517,0.67517,0.74291,0.79258
bace,random,none,none,none,1,100,0.33021,0.61411,0.81841,0.81841,0.60493,0.54725
bace,random,none,none,none,3,100,0.33848,0.60372,0.81334,0.81334,0.60098,0.54658
polymer_density,random,none,none,none,3,100,0.49118,0.38853,0.71332,0.71332,0.70646,0.81073
freesolv,penultimate,none,none,none,7,100,0.82588,0.25397,0.41728,0.41728,0.91481,0.93565
freesolv,embedding,none,none,none,3,100,0.75303,0.3258,0.49696,0.49696,0.87174,0.89142
freesolv,embedding,none,none,none,9,100,0.79428,0.2738,0.45356,0.45356,0.8951,0.90413
chain_gap,random,none,none,none,2,100,0.65459,0.43797,0.58772,0.58772,0.81169,0.8407
chain_gap,random,none,none,none,3,100,0.69718,0.3869,0.55029,0.55029,0.83741,0.85418
chain_gap,random,none,none,none,7,100,0.6348,0.42434,0.60432,0.60432,0.80186,0.82502
esol,penultimate,none,none,none,0,100,0.74753,0.36141,0.50247,0.50247,0.86955,0.85975
chain_gap,random,none,none,none,1,100,0.4559,0.45265,0.73763,0.73763,0.70923,0.76508
esol,penultimate,none,none,none,6,100,0.76541,0.35311,0.48435,0.48435,0.87673,0.87135
sublimation,embedding,none,none,none,1,100,0.68577,0.38107,0.56056,0.56056,0.8289,0.83843
sublimation,embedding,none,none,none,4,100,0.62351,0.40995,0.61359,0.61359,0.79224,0.80136
polymer_mt,random,none,none,none,3,100,0.20247,0.62822,0.89304,0.89304,0.67691,0.67538
polymer_mt,random,none,none,none,2,100,0.46932,0.53908,0.72847,0.72847,0.69923,0.67907
polymer_mt,random,none,none,none,4,100,0.4561,0.54788,0.7375,0.7375,0.69744,0.68751
lipo,random,none,none,none,2,100,0.27069,0.66271,0.854,0.854,0.53034,0.51401
polygas_N2,embedding,none,none,none,1,100,0.73775,0.32805,0.5121,0.5121,0.87315,0.88388
lipo,random,none,none,none,8,100,0.13365,0.71369,0.93078,0.93078,0.40603,0.42225
polygas_H2,embedding,none,none,none,3,100,0.71636,0.33158,0.53257,0.53257,0.85107,0.85702
polygas_CH4,embedding,none,none,none,6,100,0.73304,0.32158,0.51668,0.51668,0.87089,0.87921
polygas_O2,embedding,none,none,none,5,100,0.76645,0.29088,0.48327,0.48327,0.87716,0.89102
polygas_N2,penultimate,none,none,none,4,100,0.69302,0.34148,0.55406,0.55406,0.8348,0.84953
polygas_CO2,embedding,none,none,none,7,100,0.73204,0.31381,0.51765,0.51765,0.85986,0.88186
polygas_CH4,penultimate,none,none,none,9,100,0.74255,0.31534,0.5074,0.5074,0.86589,0.87702
polygas_CH4,embedding,none,none,none,9,100,0.80422,0.2726,0.44247,0.44247,0.89815,0.90815
esol,embedding,none,none,none,5,100,0.72147,0.38787,0.52776,0.52776,0.85336,0.83307
polygas_CO2,embedding,none,none,none,1,100,0.67716,0.35451,0.56819,0.56819,0.82839,0.8399
polygas_CH4,embedding,none,none,none,0,100,0.76403,0.30527,0.48576,0.48576,0.87823,0.88196
polygas_N2,penultimate,none,none,none,2,100,0.73668,0.30561,0.51315,0.51315,0.85883,0.86506
polygas_O2,penultimate,none,none,none,5,100,0.76505,0.28926,0.48472,0.48472,0.87505,0.8957
polymer_o2,embedding,none,none,none,4,100,0.41988,0.20123,0.76166,0.76166,0.66995,0.47602
polymer_o2,embedding,none,none,none,1,100,0.57207,0.26895,0.65417,0.65417,0.81263,0.32688
polymer_density,embedding,none,none,none,1,100,0.49876,0.4014,0.70799,0.70799,0.70887,0.80505
polymer_density,embedding,none,none,none,2,100,0.54425,0.38626,0.6751,0.6751,0.74568,0.8235
polymer_o2,embedding,none,none,none,9,100,0.07605,0.38476,0.96122,0.96122,0.77964,0.31577
polymer_density,penultimate,none,none,none,8,100,0.60695,0.37112,0.62694,0.62694,0.78382,0.83006
polymer_density,embedding,none,none,none,5,100,0.64555,0.356,0.59536,0.59536,0.80355,0.83407
polymer_density,penultimate,none,none,none,1,100,0.55764,0.3599,0.6651,0.6651,0.75521,0.8471
polymer_density,penultimate,none,none,none,5,100,0.62066,0.36727,0.6159,0.6159,0.78806,0.82963
chain_gap,embedding,none,none,none,2,100,0.65081,0.42945,0.59092,0.59092,0.81952,0.83583
chain_gap,penultimate,none,none,none,1,100,0.68399,0.38667,0.56215,0.56215,0.83576,0.86605
esol,embedding,none,none,none,2,100,0.77669,0.34758,0.47255,0.47255,0.88219,0.86624
lipo,penultimate,none,none,none,1,100,0.14473,0.72096,0.92481,0.92481,0.43023,0.42449
lipo,penultimate,none,none,none,0,100,0.15853,0.72351,0.91732,0.91732,0.47775,0.44366
polymer_mt,embedding,none,none,none,0,100,0.39139,0.57179,0.78014,0.78014,0.66546,0.65644
lipo,penultimate,none,none,none,5,100,0.06409,0.7509,0.96742,0.96742,0.38306,0.38066
polymer_mt,embedding,none,none,none,4,100,0.38143,0.57427,0.78649,0.78649,0.65037,0.63374
polymer_mt,embedding,none,none,none,7,100,0.27526,0.62112,0.85132,0.85132,0.60906,0.60307
lipo,embedding,none,none,none,2,100,0.04754,0.73465,0.97594,0.97594,0.4655,0.48585
lipo,embedding,none,none,none,4,100,0.17008,0.69106,0.911,0.911,0.51363,0.50814
polymer_mt,embedding,none,none,none,1,100,0.38274,0.58166,0.78566,0.78566,0.65758,0.63058
polymer_mt,random,none,none,none,6,100,0.47106,0.53788,0.72728,0.72728,0.70446,0.69361
freesolv,embedding,none,none,none,1,100,0.76709,0.30432,0.4826,0.4826,0.88385,0.87401
polymer_tg,random,none,none,none,7,100,0.68051,0.42613,0.56523,0.56523,0.82584,0.83853
chain_gap,embedding,none,none,none,7,100,0.6642,0.39098,0.57948,0.57948,0.82421,0.85781
polygas_CO2,penultimate,none,none,none,2,100,0.75568,0.28653,0.49429,0.49429,0.87018,0.89321
chain_gap,embedding,none,none,none,9,100,0.63433,0.41701,0.6047,0.6047,0.80209,0.82809
polygas_H2,embedding,none,none,none,9,100,0.73439,0.30072,0.51538,0.51538,0.85991,0.87866
polymer_density,embedding,none,none,none,7,100,0.59723,0.36855,0.63464,0.63464,0.7796,0.83643
polygas_O2,penultimate,none,none,none,0,100,0.71995,0.32935,0.5292,0.5292,0.85473,0.85886
sublimation,random,none,none,none,0,100,0.69171,0.37424,0.55524,0.55524,0.84084,0.84211
polymer_o2,penultimate,none,none,none,5,100,0.43642,0.20607,0.75072,0.75072,0.67312,0.44825
polymer_o2,embedding,none,none,none,2,100,0.02854,0.20246,0.98563,0.98563,0.27896,0.35047
polymer_density,penultimate,none,none,none,2,100,0.5469,0.39101,0.67312,0.67312,0.75026,0.81755
polymer_density,penultimate,none,none,none,3,100,0.55225,0.39625,0.66914,0.66914,0.75347,0.8202
polymer_o2,embedding,none,none,none,7,100,0.0451,0.21177,0.97719,0.97719,0.33614,0.28331
freesolv,ensemble,none,none,none,1,100,0.8097,0.28677,0.43624,0.43624,0.90319,0.89661
polygas_O2,embedding,none,none,none,0,100,0.70293,0.33768,0.54505,0.54505,0.84303,0.84938
polygas_O2,random,none,none,none,2,100,0.69761,0.34314,0.5499,0.5499,0.84395,0.84538
freesolv,ensemble,none,none,none,7,100,0.80289,0.31373,0.44397,0.44397,0.90116,0.86537
polymer_o2,penultimate,none,none,none,7,100,0.11428,0.19447,0.94113,0.94113,0.49744,0.31208
polymer_o2,embedding,none,none,none,8,100,0.43963,0.20777,0.74858,0.74858,0.6796,0.3935
freesolv,random,none,none,none,8,100,0.85042,0.2576,0.38676,0.38676,0.92519,0.91603
polygas_CO2,random,none,none,none,4,100,0.76144,0.30494,0.48843,0.48843,0.88154,0.90577
esol,ensemble,none,none,none,1,100,0.8144,0.31948,0.43082,0.43082,0.90488,0.89472
esol,ensemble,none,none,none,2,100,0.79925,0.33827,0.44805,0.44805,0.89511,0.87709
polygas_O2,penultimate,none,none,none,8,100,0.75287,0.30566,0.49712,0.49712,0.87214,0.88894
polymer_o2,embedding,none,none,none,3,100,0.30863,0.20968,0.83149,0.83149,0.57558,0.34062
lipo,embedding,none,none,none,1,100,0.10343,0.73263,0.94687,0.94687,0.44959,0.41861
esol,ensemble,none,none,none,5,100,0.78324,0.34689,0.46557,0.46557,0.88608,0.86326
polygas_H2,embedding,none,none,none,7,100,0.7677,0.28585,0.48198,0.48198,0.87737,0.88566
freesolv,penultimate,none,none,none,8,100,0.76123,0.27186,0.48864,0.48864,0.87852,0.92484
chain_gap,embedding,none,none,none,1,100,0.67414,0.38882,0.57084,0.57084,0.83326,0.85182
polygas_He,ensemble,none,none,none,1,100,0.77426,0.30094,0.47512,0.47512,0.88312,0.89134
polygas_H2,ensemble,none,none,none,7,100,0.67722,0.34379,0.56814,0.56814,0.83408,0.85419
polygas_CH4,ensemble,none,none,none,5,100,0.61729,0.37861,0.61863,0.61863,0.7941,0.79443
logp,random,none,none,none,7,100,0.50132,0.51456,0.70617,0.70617,0.71272,0.70797
logp,random,none,none,none,1,100,0.47453,0.53101,0.72489,0.72489,0.69169,0.69091
esol,penultimate,none,none,none,8,100,0.7868,0.34142,0.46174,0.46174,0.88769,0.86895
polygas_H2,ensemble,none,none,none,9,100,0.75481,0.29977,0.49516,0.49516,0.87174,0.88607
bace,penultimate,none,none,none,3,100,0.46953,0.5548,0.72833,0.72833,0.6961,0.64277
polygas_CH4,ensemble,none,none,none,2,100,0.67063,0.33524,0.57391,0.57391,0.82829,0.8276
polymer_o2,penultimate,none,none,none,3,100,0.35992,0.19663,0.80005,0.80005,0.63035,0.24411
polygas_N2,ensemble,none,none,none,8,100,0.74547,0.3084,0.50451,0.50451,0.86508,0.86285
polygas_N2,ensemble,none,none,none,4,100,0.72725,0.31322,0.52226,0.52226,0.85376,0.86793
polygas_He,ensemble,none,none,none,8,100,0.74646,0.30026,0.50352,0.50352,0.86976,0.88188
polygas_CH4,ensemble,none,none,none,4,100,0.74936,0.30898,0.50064,0.50064,0.86933,0.87499
polygas_CO2,ensemble,none,none,none,1,100,0.7806,0.29184,0.4684,0.4684,0.88573,0.90611
polymer_mt,penultimate,none,none,none,8,100,0.43858,0.5393,0.74928,0.74928,0.68041,0.68058
esol,embedding,none,none,none,7,100,0.75533,0.36028,0.49464,0.49464,0.87392,0.86024
esol,random,none,none,none,5,100,0.8069,0.32202,0.43943,0.43943,0.89903,0.89024
polymer_density,ensemble,none,none,none,1,100,0.57189,0.40234,0.6543,0.6543,0.75643,0.80775
polygas_N2,ensemble,none,none,none,9,100,0.74096,0.30735,0.50896,0.50896,0.86384,0.87196
chain_gap,ensemble,none,none,none,8,100,0.71663,0.36363,0.53232,0.53232,0.8504,0.8724
chain_gap,ensemble,none,none,none,7,100,0.71265,0.39019,0.53605,0.53605,0.84662,0.86161
bace,ensemble,none,none,none,1,100,0.53908,0.52211,0.67891,0.67891,0.74187,0.69015
bace,random,none,none,none,7,100,0.45503,0.54821,0.73822,0.73822,0.68615,0.62723
chain_gap,ensemble,none,none,none,0,100,0.71941,0.38157,0.5297,0.5297,0.84926,0.86743
freesolv,ensemble,none,none,none,4,100,0.82424,0.28314,0.41923,0.41923,0.91374,0.87332
polygas_O2,penultimate,none,none,none,9,100,0.75065,0.2931,0.49935,0.49935,0.86883,0.88493
lipo,ensemble,none,none,none,7,100,0.25428,0.67709,0.86355,0.86355,0.51716,0.46213
polygas_He,penultimate,none,none,none,4,100,0.71022,0.3421,0.53832,0.53832,0.84523,0.85646
polymer_mt,embedding,none,none,none,2,100,0.51437,0.51725,0.69687,0.69687,0.72262,0.70914
polymer_mt,ensemble,none,none,none,4,100,0.52385,0.50537,0.69004,0.69004,0.73575,0.71996
freesolv,penultimate,none,none,none,1,100,0.77324,0.29278,0.4762,0.4762,0.88042,0.91521
logp,embedding,none,none,none,8,100,0.48448,0.52596,0.718,0.718,0.7021,0.70498
polymer_mt,embedding,none,none,none,3,100,0.46366,0.53876,0.73236,0.73236,0.7011,0.69503
bace,ensemble,none,none,none,9,100,0.39157,0.58194,0.78002,0.78002,0.63617,0.62098
logp,embedding,none,none,none,7,100,0.46477,0.51896,0.73159,0.73159,0.69138,0.69758
logp,embedding,none,none,none,4,100,0.46744,0.54285,0.72977,0.72977,0.69117,0.68179
logp,penultimate,none,none,none,3,100,0.51173,0.52559,0.69876,0.69876,0.7383,0.71974
logp,embedding,none,none,none,6,100,0.50919,0.51029,0.70058,0.70058,0.71369,0.72307
logp,penultimate,none,none,none,1,100,0.48309,0.52932,0.71896,0.71896,0.6959,0.69271
polymer_density,embedding,none,none,none,3,100,0.60201,0.36026,0.63087,0.63087,0.77877,0.83786
polymer_mt,penultimate,none,none,none,1,100,0.3813,0.58748,0.78658,0.78658,0.6579,0.64595
logp,random,none,none,none,4,100,0.56724,0.49075,0.65785,0.65785,0.75445,0.73611
polymer_density,penultimate,none,none,none,7,100,0.58346,0.3843,0.6454,0.6454,0.76401,0.78306
polymer_density,random,none,none,none,0,100,0.37207,0.51839,0.79242,0.79242,0.69689,0.71289
chain_gap,random,none,none,none,0,100,0.60646,0.4236,0.62733,0.62733,0.80197,0.84241
polymer_o2,embedding,none,none,none,5,100,0.36907,0.34985,0.79431,0.79431,0.76972,0.29549
polymer_density,ensemble,none,none,none,0,100,0.61593,0.36167,0.61973,0.61973,0.78951,0.83656
polygas_N2,embedding,none,none,none,6,100,0.70068,0.34515,0.5471,0.5471,0.84511,0.86507
logp,embedding,none,none,none,5,100,0.49183,0.5236,0.71286,0.71286,0.7228,0.71851
polymer_density,ensemble,none,none,none,6,100,0.58938,0.40403,0.6408,0.6408,0.77023,0.78241
polygas_N2,embedding,none,none,none,9,100,0.67567,0.35434,0.5695,0.5695,0.83426,0.84898
logp,embedding,none,none,none,9,100,0.49404,0.50795,0.71131,0.71131,0.70842,0.72452
polygas_CH4,ensemble,none,none,none,6,100,0.76279,0.30147,0.48704,0.48704,0.87631,0.87704
polymer_tg,ensemble,none,none,none,1,100,0.71209,0.40189,0.53657,0.53657,0.84472,0.85318
chain_gap,penultimate,none,none,none,4,100,0.69128,0.38178,0.55563,0.55563,0.83967,0.86339
polymer_o2,ensemble,none,none,none,4,100,0.79159,0.22227,0.45652,0.45652,0.89313,0.26077
polymer_o2,ensemble,none,none,none,0,100,0.78788,0.19297,0.46056,0.46056,0.88954,0.37843
chain_gap,ensemble,none,none,none,3,100,0.70926,0.36322,0.5392,0.5392,0.84869,0.86674
logp,embedding,none,none,none,0,100,0.51394,0.51556,0.69718,0.69718,0.7202,0.70756
polymer_density,ensemble,none,none,none,7,100,0.52962,0.42782,0.68584,0.68584,0.73051,0.76177
chain_gap,ensemble,none,none,none,9,100,0.64133,0.4089,0.59889,0.59889,0.8283,0.85401
polygas_N2,ensemble,none,none,none,1,100,0.74495,0.31817,0.50503,0.50503,0.86625,0.87772
polymer_density,ensemble,none,none,none,5,100,0.37017,0.51644,0.79362,0.79362,0.71773,0.69214
polymer_mt,embedding,none,none,none,9,100,0.37006,0.58472,0.79369,0.79369,0.64632,0.64643
polygas_O2,ensemble,none,none,none,3,100,0.80571,0.27074,0.44079,0.44079,0.8994,0.9032
bace,penultimate,none,none,none,0,100,0.45771,0.54523,0.7364,0.7364,0.70741,0.68215
polymer_o2,random,none,none,none,8,100,0.67653,0.20604,0.56874,0.56874,0.8232,0.4048
polygas_O2,penultimate,none,none,none,2,100,0.7369,0.31144,0.51293,0.51293,0.8621,0.87185
freesolv,penultimate,none,none,none,4,100,0.79841,0.26901,0.44899,0.44899,0.8993,0.91981
bace,random,none,none,none,6,100,0.33075,0.61129,0.81808,0.81808,0.61971,0.58109
bace,random,none,none,none,0,100,0.49239,0.53547,0.71247,0.71247,0.71428,0.68234
polygas_CO2,ensemble,none,none,none,7,100,0.63127,0.39083,0.60723,0.60723,0.80106,0.81782
logp,penultimate,none,none,none,5,100,0.55722,0.49909,0.66542,0.66542,0.75021,0.73667
polymer_o2,penultimate,none,none,none,8,100,0.43324,0.18076,0.75284,0.75284,0.71611,0.36276
logp,embedding,none,none,none,3,100,0.50182,0.50939,0.70582,0.70582,0.71395,0.71568
polymer_o2,penultimate,none,none,none,0,100,0.49199,0.27798,0.71275,0.71275,0.77106,0.28736
polymer_mt,embedding,none,none,none,5,100,0.40746,0.56956,0.76976,0.76976,0.65145,0.64831
freesolv,random,none,none,none,2,100,0.72415,0.33939,0.52522,0.52522,0.85862,0.86504
polymer_o2,random,none,none,none,7,100,0.46318,0.31282,0.73268,0.73268,0.84331,0.09768
logp,ensemble,none,none,none,6,100,0.45897,0.54374,0.73555,0.73555,0.68136,0.66407
polygas_CO2,penultimate,none,none,none,1,100,0.74935,0.31089,0.50065,0.50065,0.86921,0.88091
polygas_N2,penultimate,none,none,none,5,100,0.71527,0.33004,0.5336,0.5336,0.84881,0.85419
polymer_o2,random,none,none,none,3,100,0.64067,0.25547,0.59944,0.59944,0.81063,0.24819
logp,ensemble,none,none,none,8,100,0.52515,0.50667,0.6891,0.6891,0.72964,0.71602
pcqm4mv2_small,embedding,none,none,none,8,100,0.57043,0.47862,0.65542,0.65542,0.76673,0.76646
pcqm4mv2_small,penultimate,none,none,none,6,100,0.56953,0.49371,0.6561,0.6561,0.76074,0.75934
pcqm4mv2_small,embedding,none,none,none,0,100,0.56739,0.48555,0.65773,0.65773,0.76275,0.75428
pcqm4mv2_small,penultimate,none,none,none,9,100,0.58706,0.4774,0.64261,0.64261,0.76811,0.77517
pcqm4mv2_small,penultimate,none,none,none,1,100,0.50811,0.52726,0.70135,0.70135,0.71707,0.71311
qm9_zpve,random,none,none,none,6,100,0.85737,0.28798,0.37767,0.37767,0.93038,0.92621
qm9_r2,random,none,none,none,2,100,0.47485,0.53551,0.72468,0.72468,0.71257,0.64961
qm9_r2,random,none,none,none,8,100,0.51539,0.50065,0.69614,0.69614,0.71915,0.67649
qm9_cv,random,none,none,none,0,100,0.64211,0.44129,0.59824,0.59824,0.80228,0.80859
qm9_mu,random,none,none,none,4,100,0.19729,0.64789,0.89594,0.89594,0.46555,0.51359
qm9_u298,random,none,none,none,8,100,0.5157,0.50741,0.69592,0.69592,0.72501,0.72823
qm9_zpve,random,none,none,none,3,100,0.82206,0.323,0.42183,0.42183,0.90851,0.90909
qm9_zpve,random,none,none,none,9,100,0.86416,0.27819,0.36856,0.36856,0.93186,0.92923
qm9_mu,random,none,none,none,7,100,0.15478,0.69399,0.91936,0.91936,0.42184,0.42424
freesolv,penultimate,none,none,none,6,100,0.77823,0.30542,0.47093,0.47093,0.88465,0.885
qm9_zpve,random,none,none,none,7,100,0.84692,0.29893,0.39126,0.39126,0.92512,0.92068
qm9_alpha,random,none,none,none,3,100,0.49171,0.5182,0.71294,0.71294,0.70805,0.7416
qm9_u0,random,none,none,none,4,100,0.52611,0.50366,0.68839,0.68839,0.72959,0.7374
logp,random,none,none,none,9,100,0.45955,0.53848,0.73516,0.73516,0.67992,0.6859
qm9_mu,random,none,none,none,8,100,0.23076,0.64763,0.87706,0.87706,0.49078,0.50482
qm9_u298,random,none,none,none,2,100,0.5151,0.49178,0.69635,0.69635,0.72098,0.74454
qm9_lumo,random,none,none,none,6,100,0.75845,0.37748,0.49148,0.49148,0.88001,0.87584
qm9_mu,random,none,none,none,6,100,0.26944,0.63428,0.85473,0.85473,0.53508,0.54957
qm9_homo,random,none,none,none,3,100,0.43676,0.55464,0.7505,0.7505,0.66483,0.63872
qm9_alpha,random,none,none,none,8,100,0.46667,0.54402,0.7303,0.7303,0.68784,0.7077
qm9_mu,random,none,none,none,1,100,0.16586,0.68515,0.91332,0.91332,0.43991,0.47174
qm9_homo,random,none,none,none,1,100,0.49641,0.52963,0.70964,0.70964,0.70615,0.65906
qm9_mu,random,none,none,none,3,100,0.18035,0.66126,0.90535,0.90535,0.4649,0.50083
qm9_homo,random,none,none,none,2,100,0.51379,0.52201,0.69729,0.69729,0.71772,0.67407
