Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
freesolv,top,none,none,none,0,100,0.22917,0.6136,0.87797,0.87797,0.49063,0.56637
freesolv,top,none,none,none,9,100,0.38781,0.56202,0.78242,0.78242,0.62339,0.63207
esol,top,none,none,none,4,100,0.45431,0.57106,0.73871,0.73871,0.68018,0.68646
esol,top,none,none,none,0,100,-1.07285,1.00238,1.43974,1.43974,0.02846,0.03733
esol,top,none,none,none,2,100,0.49004,0.55407,0.71412,0.71412,0.70656,0.67251
sublimation,top,none,none,none,5,100,0.43706,0.54284,0.7503,0.7503,0.68707,0.6827
esol,top,none,none,none,3,100,0.58213,0.50398,0.64643,0.64643,0.79599,0.79839
sublimation,top,none,none,none,2,100,0.19157,0.70565,0.89913,0.89913,0.5174,0.51758
esol,top,none,none,none,6,100,-0.09784,0.78434,1.04778,1.04778,0.39152,0.27327
sublimation,top,none,none,none,4,100,0.39924,0.56571,0.77509,0.77509,0.69284,0.69885
sublimation,top,none,none,none,0,100,0.27958,0.64795,0.84878,0.84878,0.57932,0.56421
polymer_density,top,none,none,none,6,100,-0.72905,0.8758,1.31493,1.31493,0.45798,0.41984
polymer_density,top,none,none,none,1,100,-1.89148,1.04368,1.70044,1.70044,0.22809,0.26749
polymer_density,top,none,none,none,8,100,-3.96443,1.3882,2.2281,2.2281,0.15761,0.21387
polymer_density,top,none,none,none,4,100,-3.13994,1.24841,2.03468,2.03468,0.28121,0.30224
polymer_density,top,none,none,none,7,100,-2.31049,1.17769,1.81948,1.81948,0.26734,0.27234
chain_gap,top,none,none,none,0,100,-0.36599,0.86532,1.16876,1.16876,0.33518,0.37642
chain_gap,top,none,none,none,2,100,-0.35829,0.88636,1.16546,1.16546,0.22844,0.27237
bace,top,none,none,none,8,100,-0.42383,0.96069,1.19324,1.19324,0.45791,0.43207
bace,top,none,none,none,3,100,-0.19539,0.85493,1.09334,1.09334,0.47446,0.44692
chain_gap,top,none,none,none,8,100,-0.06618,0.77449,1.03256,1.03256,0.46873,0.47847
polymer_density,top,none,none,none,5,100,-1.15958,0.94712,1.46955,1.46955,0.23455,0.36611
chain_gap,top,none,none,none,3,100,0.08086,0.70907,0.95872,0.95872,0.48869,0.49895
