smiles,log10_H2_Bayesian
*CCOC(=O)c1ccc(O*)cc1,-1.739322769
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,-0.3471755465
*CCOC(=O)c1cccc(C(=O)O*)c1,-0.574196277
*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,-0.949245094
*CCOCCOC(=O)c1cccc(C(=O)O*)c1,-0.405613439
*CCc1cc(Cl)c(*)c(Cl)c1,0.3824084605
*CCc1ccc(*)c(Br)c1,-0.347723327
*CCc1ccc(*)c(C#N)c1,0.247734884
*CCc1ccc(*)c(C)c1,-0.002248193
*CCc1ccc(*)c(CC)c1,0.633141662
*CCc1ccc(*)c(Cl)c1,0.079180377
*CCc1ccc(*)cc1,0.176650409
*CN1CN(*)Cc2cc(C3(c4cc(*)c(*)c(C)c4)C4CC5CC(C4)CC3C5)cc(C)c21,2.7784441026666666
*CN1CN(*)Cc2cc3c(cc21)C1(C)CCC3(C)c2cc(*)c(*)cc21,3.79764642725
*CN1CN(*)Cc2cc3c(cc21)C1(CC(C)(C)c2cc(*)c(*)cc21)CC3(C)C,3.333352568
*CN1CN(*)Cc2cc3c(cc21)C1c2ccccc2C3c2cc(*)c(*)cc21,3.7522529043333335
*CN1CN(*)Cc2cc3cc4c(cc3cc21)C1CC4c2cc3cc4c(cc3cc21)CN(*)CN4C*,3.2529583195
*CN1Cc2cc3c(cc2N(*)C1)C1c2cc(*)c(*)cc2C3c2cc3cc4c(cc3cc21)C(C)(C)CCC4(C)C,3.785329835
*CO*,0.390049572
*COC(=O)NCCCCCCNC(=O)OCc1cccc(*)n1,-0.800831622
*COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCc3cccc(*)n3)cc2)cc1,-0.202552834
*C[Si](*)(C)C,2.397841087
*Cc1ccc(C*)c(Cl)c1,-0.180456064
*Cc1ccc(C*)cc1,0.505149978
*N=P(*)(Oc1ccccc1)Oc1ccccc1,0.851740915
*N=P(N=P(N=S(*)(=O)NCC)(NCC)NCC)(NCC)NCC,1.176884806
*N=P(N=P(N=S(*)(=O)NCCC)(NCCC)NCCC)(NCCC)NCCC,1.555600869
*N=P(N=P(N=S(*)(=O)NCCCC)(NCCCC)NCCCC)(NCCCC)NCCCC,1.911479527
*N=P(N=P(N=S(*)(=O)NCCCCCC)(NCCCCCC)NCCCCCC)(NCCCCCC)NCCCCCC,1.952203266
*N=P(N=P(N=S(*)(=O)NCCCCCCC)(NCCCCCCC)NCCCCCCC)(NCCCCCCC)NCCCCCCC,1.930851625
*NC(CC(C)C)C(*)=O,1.733197265
*NC(CCC(=O)O)C(*)=O,-0.920818754
*NC(CCC(=O)OC)C(*)=O,0.785329835
*NC(CCC(=O)OCc1ccccc1)C(*)=O,0.383815366
*NC(CCCCNC(=O)OCc1ccccc1)C(*)=O,-0.366531544
*NC(CCCCSC)C(*)=O,0.482873584
*Nc1ccc(*)cc1,0.294393475
*Nc1ccc(*)cc1OC,0.781036939
*Nc1ccc(*)cc1OCC,0.908485019
*OC(=O)C(*)C,0.46479679383333333
*OC(C)CC(*)=O,0.221895485
*OC1C(C)(C)C(OC(*)=O)C1(C)C,1.931566984
*OC1C(CO)OC(*)C(O)C1O,-2.2828578425
*OC1C(COC(C)=O)OC(*)C(OC(C)=O)C1OC(C)=O,0.9099209236666667
*OC1C(COC)OC(*)C(OC)C1OC,1.062027963
*OC1C(COCC)OC(*)C(OCC)C1OCC,1.939519253
*OC1OC(OC(C)=O)C(*)C(OC(C)=O)C1OC(C)=O,0.9175280510000001
*OC1OC(OCC)C(*)C(OCC)C1OCC,1.8280581723333331
*O[Si](*)(C)C,2.852818957
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,1.447158031
*Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cc(C(*)=O)cc(C(C)(C)C)c4)c(Br)c3)CC(C)CC(C)(C)C2)cc1Br,1.942600104
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1cc(C)c(C)cc1C31c2cc(*)c(*)cc2-c2cc(C)c(C)cc21,3.7946306654999997
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1cc2c(cc1C31c3cc(*)c(*)cc3-c3cc4c(cc31)C(C)(C)CCC4(C)C)C(C)(C)CCC2(C)C,3.4967247285
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccc(C(C)(C)C)cc1C31c2cc(C(C)(C)C)ccc2-c2cc(*)c(*)cc21,3.7102163575000002
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccc(C)cc1C31c2cc(C)ccc2-c2cc(*)c(*)cc21,3.6439456330000004
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccccc1C31c2cc(*)c(*)cc2-c2cc(C)c(C)cc21,3.632411272
