,polymer_dD,polymer_dP,polymer_dH,solv_dD,solv_dP,solv_dH,Mw (Da),PDI,ϕ,P (MPa),target
3024,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.23818,13.41,21.8
3025,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.22857,3.56,-2.61
3026,18.3,3.6,3.03,15.26,14.41,5.54,22000.0,1.03,0.16084,0.32,85.4
3027,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.16842,3.78,-3.64
3028,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.17331,1.36,40.03
3029,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.04827,4.29,246.35
3030,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.11556,13.05,29.2
3031,15.6,7.41,4.86,16.05,5.63,3.84,95000.0,1.04,0.0577,0.1,43.51
3032,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.0833,1.38,6.46
3033,18.3,3.6,3.03,16.8,0.19,0.95,189000.0,1.02,0.0353,0.1,23.52
3034,13.7,3.48,2.56,15.12,0.15,0.21,383000.0,1.19,0.09437,4.3,180.0
3035,18.3,3.6,3.03,16.8,0.19,0.95,37000.0,1.06,0.08227,0.1,12.23
3036,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.04261,4.12,177.21
3037,18.3,3.6,3.03,16.07,0.18,0.55,25000.0,1.06,0.12261,1.67,29.83
3038,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.14593,4.76,118.01
3039,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.23404,35.5,18.4
3040,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.20546,2.85,63.74
3041,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.05318,3.19,25.04
3042,18.3,3.6,3.03,15.89,4.11,5.7,1971000.0,1.26,0.08302,0.1,236.9
3043,18.3,3.6,3.03,16.8,0.19,0.95,111000.0,1.05,0.09583,0.1,21.29
3044,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.08414,1.38,77.93
3045,16.3,9.79,7.12,15.11,15.72,38.81,144000.0,2.06,0.00318,60.95,42.45
3046,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.24359,2.66,147.82
3047,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.14812,0.39,-3.53
3048,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.19394,2.32,-2.22
3049,16.3,9.79,7.12,15.11,15.72,38.81,144000.0,2.06,0.00318,66.05,42.65
3050,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.21117,1.9,-1.68
3051,18.3,3.6,3.03,15.08,4.12,5.69,233000.0,1.06,0.05933,0.1,-2.9
3052,18.3,3.6,3.03,16.67,0.1,1.48,98900.0,1.02,0.05941,0.1,2.3
3053,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.03383,3.85,57.18
3054,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.10221,4.8,64.03
3055,15.1,3.74,3.53,15.76,9.75,19.72,470000.0,1.69,0.05648,62.5,38.0
3056,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0274,0.1,23.44
3057,14.0,6.51,6.76,15.11,15.72,38.81,8000.0,1.6,0.08989,0.1,282.5
3058,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0556,0.1,23.83
3059,18.3,3.6,3.03,16.8,0.19,0.95,209000.0,2.13,0.0479,0.1,220.7
3060,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0779,0.1,23.84
3061,13.7,3.48,2.56,15.12,0.15,0.21,6500.0,1.04,0.11613,4.5,236.0
3062,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.0861,0.53,23.64
3063,18.3,3.6,3.03,14.67,0.13,0.15,1240.0,1.07,0.05145,0.1,7.55
3064,18.3,3.6,3.03,15.08,4.12,5.69,233000.0,1.06,0.00827,0.1,136.1
3065,18.3,3.6,3.03,16.67,0.1,1.48,98900.0,1.02,0.07964,0.1,172.5
3066,18.3,3.6,3.03,16.06,0.22,0.47,400000.0,1.06,0.08756,0.1,58.74
3067,15.6,7.41,4.86,16.05,5.63,3.84,143000.0,1.04,0.0464,0.1,49.76
3068,18.3,3.6,3.03,16.06,0.22,0.47,34900.0,1.06,0.2241,0.1,34.78
3069,18.3,3.6,3.03,14.34,0.12,0.09,1240.0,1.07,0.09689,0.1,-12.15
3070,18.3,3.6,3.03,16.06,0.22,0.47,670000.0,1.1,0.01372,0.1,219.15
3071,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.17486,5.05,31.2
3072,18.3,3.6,3.03,16.8,0.19,0.95,13200000.0,1.13,0.0097,0.1,32.15
3073,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.29918,3.95,-4.56
3074,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.13458,2.74,35.84
3075,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.06789,9.48,222.58
3076,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0778,0.1,23.84
3077,18.3,3.6,3.03,16.8,0.19,0.95,111000.0,1.05,0.09108,0.1,21.3
3078,18.3,3.6,3.03,16.07,0.18,0.55,25000.0,1.06,0.13285,0.83,30.13
3079,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.04449,4.83,56.94
3080,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.3145,1.54,4.3
3081,13.7,3.48,2.56,15.48,1.43,2.27,105000.0,2.44,0.14498,3.3,271.65
3082,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.0581,0.1,30.29
3083,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.04885,7.24,202.06
3084,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.21249,64.58,20.5
3085,18.3,3.6,3.03,16.06,0.22,0.47,250000.0,3.91,0.0378,9.5,53.76
3086,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.2867,4.72,4.43
3087,18.3,3.6,3.03,16.06,0.22,0.47,17200.0,1.06,0.0993,0.1,23.2
3088,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.0929,1.17,49.69
3089,18.3,3.6,3.03,16.8,0.19,0.95,2700000.0,1.1,0.04705,0.1,30.72
3090,18.3,3.6,3.03,15.3,2.65,0.56,123000.0,1.06,0.115,0.1,24.89
3091,18.3,3.6,3.03,15.51,10.18,6.73,24700.0,1.04,0.01362,11.3,4.15
3092,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.11749,2.76,28.59
3093,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.06,0.10282,0.1,23.72
3094,13.7,3.48,2.56,16.67,0.1,1.48,106000.0,5.27,0.04915,7.45,228.5
3095,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.09618,4.05,141.1
3096,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.04264,0.1,26.44
3097,18.3,3.6,3.03,16.8,0.19,0.95,769500.0,1.28,0.01035,0.1,27.25
3098,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.0625,4.75,3.13
3099,15.6,7.41,4.86,16.05,5.63,3.84,26900.0,1.11,0.344,0.1,14.3
3100,18.3,3.6,3.03,16.43,15.41,6.15,90100.0,1.04,0.1205,4.54,66.2
3101,18.3,3.6,3.03,17.49,0.16,0.04,90000.0,1.04,0.00822,0.1,3.4
3102,18.3,3.6,3.03,16.67,0.1,1.48,354000.0,1.02,0.08586,0.1,164.8
3103,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.00718,1.97,167.71
3104,18.3,3.6,3.03,18.36,6.11,4.31,86700.0,1.04,0.1101,0.1,65.4
3105,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.09728,56.29,19.66
3106,18.3,3.6,3.03,16.8,0.19,0.95,2000000.0,1.3,0.047,0.1,29.49
3107,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.24359,0.78,85.73
3108,18.3,3.6,3.03,16.8,0.19,0.95,239000.0,2.78,0.0803,0.1,26.02
3109,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.14369,8.4,51.2
3110,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.0132,45.68,43.96
3111,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.2577,0.1,22.31
3112,18.3,3.6,3.03,16.8,0.19,0.95,37000.0,1.06,0.03416,0.1,238.4
3113,18.3,3.6,3.03,15.3,2.65,0.56,400000.0,1.06,0.022,0.1,29.78
3114,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.3094,0.1,136.35
3115,18.3,3.6,3.03,16.06,0.22,0.47,181000.0,1.06,0.0941,0.1,53.78
3116,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.1126,0.23,24.12
3117,16.3,9.79,7.12,15.11,15.72,38.81,124000.0,1.49,0.0364,0.1,29.65
3118,18.3,3.6,3.03,15.89,4.11,5.7,1971000.0,1.26,0.06114,0.1,236.6
3119,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.15162,2.66,-3.21
3120,18.3,3.6,3.03,15.57,10.24,6.84,13500.0,1.06,0.11126,1.13,72.68
3121,13.8,3.38,4.26,13.81,0.19,0.17,16370.0,1.11,0.02824,0.1,154.8
3122,18.3,3.6,3.03,15.51,10.18,6.73,11500.0,1.07,0.06934,0.1,-28.0
3123,18.3,3.6,3.03,16.8,0.19,0.95,25000.0,1.06,0.122,0.1,7.12
3124,13.7,3.48,2.56,15.12,0.15,0.21,383000.0,1.19,0.00431,7.9,188.0
3125,13.7,3.48,2.56,15.12,0.15,0.21,60360.0,2.57,0.02635,4.0,180.39
3126,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.17331,2.59,35.97
3127,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.00351,8.02,216.99
3128,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.12664,3.07,90.35
3129,18.3,3.6,3.03,16.8,0.19,0.95,142100.0,1.09,0.1148,0.1,20.1
3130,18.3,3.6,3.03,16.43,15.41,6.15,90100.0,1.04,0.0848,2.57,66.92
3131,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.14329,1.55,163.49
3132,18.3,3.6,3.03,15.59,5.93,7.25,100000.0,1.06,0.0889,0.1,164.6
3133,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.1278,1.28,-3.66
3134,18.3,3.6,3.03,15.3,2.65,0.56,123000.0,1.06,0.123,0.1,24.76
3135,17.5,2.82,2.73,15.7,4.47,6.46,61400.0,1.05,0.02456,0.1,-22.6
3136,13.7,3.48,2.56,16.67,0.1,1.48,106000.0,5.27,0.04915,9.04,240.5
3137,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.11406,74.4,21.05
3138,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.04552,2.62,167.5
3139,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.0714,4.17,4.22
3140,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.1094,3.14,140.0
3141,18.3,3.6,3.03,15.57,10.24,6.84,13500.0,1.06,0.19786,0.39,72.9
3142,15.6,7.41,4.86,16.05,5.63,3.84,143000.0,1.04,0.1349,0.1,49.34
3143,18.3,3.6,3.03,16.06,0.22,0.47,20200.0,1.06,0.1977,0.1,25.73
3144,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.1078,0.1,25.6
3145,16.3,9.79,7.12,15.11,15.72,38.81,144000.0,2.06,0.00318,35.45,41.05
3146,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.17688,3.24,138.95
3147,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.01608,9.3,222.09
3148,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.0234,0.1,30.49
3149,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.11318,80.0,21.24
3150,16.3,9.79,7.12,15.11,15.72,38.81,10000.0,4.55,0.00682,0.1,32.76
3151,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.14593,0.79,47.44
3152,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.05859,43.44,19.17
3153,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.06592,10.05,28.37
3154,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.05859,67.67,19.4
3155,17.2,3.53,1.84,16.43,15.41,6.15,85200.0,1.02,0.08605,0.5,38.58
3156,18.3,3.6,3.03,16.8,0.19,0.95,400000.0,1.06,0.076,0.1,25.93
3157,17.5,2.82,2.73,15.89,4.11,5.7,61400.0,1.05,0.19576,0.1,8.7
3158,18.3,3.6,3.03,15.08,4.12,5.69,100000.0,1.06,0.12886,0.1,-17.5
3159,18.3,3.6,3.03,16.8,0.19,0.95,101400.0,1.09,0.08164,5.1,242.95
3160,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.04777,3.4,172.64
3161,18.3,3.6,3.03,16.8,0.19,0.95,610000.0,1.08,0.00744,0.1,28.0
3162,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0436,0.1,23.77
3163,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.00351,2.32,172.35
3164,18.3,3.6,3.03,15.57,10.24,6.84,13500.0,1.06,0.17549,2.77,57.41
3165,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.0328,4.59,182.44
3166,13.7,3.48,2.56,15.12,0.15,0.21,105000.0,2.44,0.00992,3.64,180.45
3167,13.7,3.48,2.56,15.12,0.15,0.21,105000.0,2.44,0.10303,3.25,183.05
3168,18.3,3.6,3.03,16.06,0.22,0.47,670000.0,1.1,0.01372,0.1,60.66
3169,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.2096,0.1,23.5
3170,13.7,3.48,2.56,15.12,0.15,0.21,67100.0,1.1,0.08745,9.2,223.0
3171,13.7,3.48,2.56,15.12,0.15,0.21,58000.0,2.58,0.03611,7.41,198.71
3172,18.3,3.6,3.03,16.8,0.19,0.95,400000.0,1.06,0.004,0.1,24.11
3173,17.2,3.53,1.84,15.51,10.18,6.73,26900.0,1.06,0.13079,1.3,3.5
3174,18.3,3.6,3.03,16.08,15.6,4.73,90100.0,1.04,0.0519,2.69,42.59
3175,18.3,3.6,3.03,15.59,5.93,7.25,600000.0,1.1,0.00172,0.1,154.5
3176,18.3,3.6,3.03,16.8,0.19,0.95,2000000.0,1.3,0.038,0.1,29.71
3177,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.17304,0.1,24.4
3178,18.3,3.6,3.03,16.8,0.19,0.95,239000.0,2.78,0.0857,0.1,26.19
3179,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.0812,1.38,49.88
3180,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.0645,0.37,50.29
3181,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.1801,0.37,6.39
3182,18.3,3.6,3.03,17.49,0.16,0.04,270000.0,2.0,0.128,50.0,14.65
3183,18.3,3.6,3.03,16.06,0.22,0.47,34900.0,1.06,0.09767,8.24,33.58
3184,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.0881,0.1,29.5
3185,14.0,6.51,6.76,15.11,15.72,38.81,8000.0,1.6,0.01068,0.1,275.5
3186,16.3,9.79,7.12,15.11,15.72,38.81,10000.0,4.55,0.32912,0.1,27.84
3187,13.7,3.48,2.56,15.12,0.15,0.21,67100.0,1.1,0.2221,6.9,215.0
3188,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.2846,0.1,134.65
3189,18.3,3.6,3.03,15.51,10.18,6.73,8000.0,1.09,0.17693,0.72,-19.96
3190,17.2,3.53,1.84,16.43,15.41,6.15,85200.0,1.02,0.14128,1.7,38.22
3191,16.3,9.79,7.12,15.11,15.72,38.81,144000.0,2.06,0.02799,14.85,38.05
3192,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.13206,0.2,47.49
3193,18.3,3.6,3.03,16.67,0.1,1.48,98900.0,1.02,0.07097,0.1,172.7
3194,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.09681,3.05,30.73
3195,18.3,3.6,3.03,15.3,2.65,0.56,13200000.0,1.13,0.015,0.1,36.75
3196,18.3,3.6,3.03,16.06,0.22,0.47,46400.0,1.06,0.0925,0.1,39.43
3197,18.3,3.6,3.03,16.8,0.19,0.95,171300.0,1.96,0.0425,0.1,25.7
3198,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.00386,0.1,22.0
3199,15.6,7.41,4.86,16.05,5.63,3.84,95000.0,1.04,0.0757,0.1,43.7
3200,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.14005,0.1,25.4
3201,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.17486,1.05,32.28
3202,18.3,3.6,3.03,15.48,7.15,7.95,190000.0,1.04,0.0091,0.1,16.26
3203,18.3,3.6,3.03,15.57,10.24,6.84,7800.0,1.18,0.06735,0.1,6.03
3204,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.03383,15.26,52.48
3205,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.07483,48.05,19.38
3206,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.15992,3.59,139.2
3207,18.3,3.6,3.03,16.8,0.19,0.95,101400.0,1.09,0.08714,6.1,249.3
3208,18.3,3.6,3.03,16.06,0.22,0.47,181000.0,1.06,0.0309,0.1,53.36
3209,13.7,3.48,2.56,15.48,1.43,2.27,105000.0,2.44,0.07113,1.93,250.65
3210,18.3,3.6,3.03,16.8,0.19,0.95,769500.0,1.28,0.06324,0.1,27.04
3211,14.9,5.29,2.86,18.2,4.73,4.42,37000.0,1.18,0.07223,0.1,22.5
3212,18.3,3.6,3.03,16.08,15.6,4.73,90100.0,1.04,0.0337,2.41,41.19
3213,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.2284,1.0,139.59
3214,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0545,0.1,23.83
3215,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.15784,12.26,21.25
3216,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.11169,0.1,24.2
3217,18.3,3.6,3.03,16.06,0.22,0.47,109000.0,1.06,0.0582,0.1,49.48
3218,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.0502,0.1,134.25
3219,14.2,5.27,5.19,15.11,15.72,38.81,20000.0,2.5,0.29383,0.1,36.5
3220,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.21249,5.31,23.27
3221,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.04827,2.12,228.97
3222,18.3,3.6,3.03,16.8,0.19,0.95,190500.0,2.29,0.0616,0.1,25.6
3223,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.0812,4.3,48.88
3224,13.7,3.48,2.56,15.12,0.15,0.21,6500.0,1.04,0.06089,5.6,234.5
3225,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.00718,5.43,192.5
3226,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0929,0.1,23.79
3227,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.17331,1.94,38.01
3228,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.17561,2.93,90.58
3229,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.0622,1.18,22.28
3230,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.1385,0.38,6.81
3231,18.3,3.6,3.03,16.06,0.22,0.47,18700.0,1.06,0.1987,0.1,23.37
3232,17.5,2.82,2.73,15.7,4.47,6.46,61400.0,1.05,0.08463,0.1,186.1
3233,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.19944,0.1,22.0
3234,18.3,3.6,3.03,15.3,2.65,0.56,123000.0,1.06,0.019,0.1,23.38
3235,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.00535,0.1,20.0
3236,18.3,3.6,3.03,16.06,0.22,0.47,17200.0,1.06,0.0602,0.1,21.67
3237,16.3,9.79,7.12,15.11,15.72,38.81,10000.0,4.55,0.47629,0.1,27.17
3238,18.3,3.6,3.03,16.28,6.13,7.97,107000.0,1.01,0.09511,0.1,7.0
3239,18.3,3.6,3.03,16.07,0.18,0.55,106300.0,1.06,0.11557,1.63,52.81
3240,18.3,3.6,3.03,16.06,0.22,0.47,14000.0,1.06,0.0739,0.1,16.05
3241,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.03653,6.05,27.07
3242,13.7,3.48,2.56,14.52,0.14,0.16,41700.0,3.69,0.02423,11.17,130.0
3243,18.3,3.6,3.03,16.06,0.22,0.47,250000.0,3.91,0.04812,9.75,53.22
3244,18.3,3.6,3.03,16.28,6.13,7.97,102000.0,1.02,0.09787,0.1,3.53
3245,17.5,2.82,2.73,16.06,0.22,0.47,32900.0,1.02,0.06734,0.1,44.45
3246,16.3,9.79,7.12,15.11,15.72,38.81,124000.0,1.49,0.42881,0.1,27.08
3247,18.3,3.6,3.03,16.06,0.22,0.47,37000.0,1.06,0.06847,0.1,245.85
3248,18.3,3.6,3.03,15.51,10.18,6.73,13500.0,1.06,0.12794,0.7,12.81
3249,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.1654,2.39,23.89
3250,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.0762,0.1,21.79
3251,18.3,3.6,3.03,15.3,2.65,0.56,2000000.0,1.3,0.047,0.1,34.02
3252,13.8,3.38,4.26,13.81,0.19,0.17,7410.0,1.17,0.07137,0.1,160.6
3253,18.3,3.6,3.03,14.17,0.11,0.07,1240.0,1.07,0.15957,0.1,37.05
3254,18.3,3.6,3.03,16.8,0.19,0.95,2700000.0,1.1,0.01477,0.1,215.61
3255,18.3,3.6,3.03,16.06,0.22,0.47,400000.0,1.06,0.08756,0.1,222.58
3256,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.17688,3.16,107.45
3257,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.22136,3.69,181.21
3258,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.1768,1.99,154.95
3259,17.5,2.82,2.73,15.88,3.86,5.39,76500.0,1.1,0.00816,0.1,-10.8
3260,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.04449,2.6,58.32
3261,18.3,3.6,3.03,15.89,4.11,5.7,600000.0,1.1,0.08492,0.1,239.7
3262,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.0132,29.5,47.33
3263,18.3,3.6,3.03,14.17,0.11,0.07,1240.0,1.07,0.13384,0.1,37.25
3264,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.08216,0.1,24.95
3265,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.09173,3.56,181.18
3266,17.5,2.82,2.73,15.89,4.11,5.7,29000.0,1.16,0.05695,0.1,-22.8
3267,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.13029,0.1,27.0
3268,18.3,3.6,3.03,16.8,0.19,0.95,400000.0,1.06,0.089,0.1,25.63
3269,18.3,3.6,3.03,16.8,0.19,0.95,100000.0,1.06,0.03682,0.1,20.3
3270,18.3,3.6,3.03,16.07,0.18,0.55,25000.0,1.06,0.13285,1.51,29.83
3271,18.3,3.6,3.03,16.8,0.19,0.95,600000.0,1.1,0.04521,30.0,28.53
3272,14.0,6.51,6.76,15.11,15.72,38.81,11615.0,1.11,0.3931,0.1,136.45
3273,17.5,2.82,2.73,15.89,4.11,5.7,61400.0,1.05,0.02458,0.1,3.4
3274,18.3,3.6,3.03,15.12,0.15,0.21,1240.0,1.07,0.04049,0.1,-9.95
3275,18.3,3.6,3.03,16.8,0.19,0.95,400000.0,1.06,0.062,0.1,26.19
3276,15.6,7.41,4.86,16.05,5.63,3.84,48600.0,1.05,0.0294,0.1,31.08
3277,18.3,3.6,3.03,16.06,0.22,0.47,20200.0,1.06,0.315,0.1,22.88
3278,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.11749,3.71,181.23
3279,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.15915,7.05,30.74
3280,18.3,3.6,3.03,16.8,0.19,0.95,286000.0,2.2,0.03606,0.1,25.2
3281,17.2,3.53,1.84,16.43,15.41,6.15,85200.0,1.02,0.09876,4.6,37.62
3282,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.12673,1.18,146.73
3283,18.3,3.6,3.03,15.26,14.41,5.54,13500.0,1.06,0.15212,1.46,35.82
3284,13.7,3.48,2.56,15.12,0.15,0.21,105000.0,2.44,0.00992,7.57,210.35
3285,18.3,3.6,3.03,15.51,10.18,6.73,22100.0,1.03,0.12385,1.19,93.42
3286,18.3,3.6,3.03,16.8,0.19,0.95,190000.0,1.04,0.13069,0.1,21.74
3287,17.5,2.82,2.73,16.8,0.19,0.95,165000.0,1.2,0.076,0.1,22.4
3288,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.13391,4.4,84.97
3289,13.8,3.38,4.26,18.12,4.96,6.37,44500.0,1.51,0.6025,0.1,40.8
3290,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.14369,5.48,52.19
3291,13.7,3.48,2.56,16.67,0.1,1.48,106000.0,5.27,0.04915,6.23,219.8
3292,13.7,3.48,2.56,15.12,0.15,0.21,60360.0,2.57,0.06525,4.9,190.22
3293,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.16818,4.04,56.81
3294,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.00036,6.81,216.98
3295,18.3,3.6,3.03,16.06,0.22,0.47,18700.0,1.06,0.1366,0.1,23.38
3296,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.08414,2.8,163.89
3297,13.7,3.48,2.56,14.52,0.14,0.16,41700.0,3.69,0.02704,13.65,150.0
3298,17.2,3.53,1.84,15.51,10.18,6.73,26900.0,1.06,0.19707,1.41,3.94
3299,18.3,3.6,3.03,16.59,4.81,2.08,235000.0,2.1,0.38041,0.1,34.85
3300,16.3,9.79,7.12,15.11,15.72,38.81,615000.0,2.04,0.03803,40.0,35.17
3301,14.0,6.51,6.76,15.11,15.72,38.81,15000.0,1.2,0.02765,0.1,121.7
3302,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.01578,0.1,21.0
3303,18.3,3.6,3.03,15.57,10.24,6.84,7800.0,1.18,0.11039,0.1,12.92
3304,13.7,3.48,2.56,14.52,0.14,0.16,27700.0,1.99,0.0562,11.31,170.0
3305,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.03563,1.93,58.48
3306,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.04244,1.6,-2.2
3307,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.19331,2.82,90.1
