,polymer_dD,polymer_dP,polymer_dH,solv_dD,solv_dP,solv_dH,Mw (Da),PDI,ϕ,P (MPa),target
374,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.20245,1.31,77.65
375,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.01424,0.1,19.99
376,17.5,2.82,2.73,16.67,0.1,1.48,61400.0,1.05,0.08194,0.1,16.3
377,18.3,3.6,3.03,15.51,10.18,6.73,22100.0,1.03,0.1141,0.47,63.91
378,17.2,3.53,1.84,16.08,15.6,4.73,85200.0,1.02,0.11958,0.61,14.92
379,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.1465,0.1,22.82
380,14.0,6.51,6.76,15.11,15.72,38.81,15000.0,1.2,0.18368,0.1,120.2
381,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.16842,2.6,-4.68
382,17.2,3.53,1.84,16.08,15.6,4.73,85200.0,1.02,0.18774,4.74,13.84
383,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.0454,0.1,30.46
384,18.3,3.6,3.03,16.67,0.1,1.48,791000.0,1.01,0.02289,0.1,12.9
385,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.24615,5.57,-4.7
386,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.06992,0.1,27.05
387,18.3,3.6,3.03,16.06,0.22,0.47,34900.0,1.06,0.09767,58.94,29.56
388,16.3,9.79,7.12,15.11,15.72,38.81,615000.0,2.04,0.03803,3.0,32.58
389,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.0875,0.1,24.51
390,13.8,3.38,4.26,18.2,4.73,4.42,24500.0,2.29,0.4005,0.1,35.3
391,13.7,3.48,2.56,15.12,0.15,0.21,60360.0,2.57,0.00351,2.5,169.98
392,17.5,2.82,2.73,15.7,4.47,6.46,61400.0,1.05,0.0661,0.1,-12.2
393,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.14812,1.33,-3.61
394,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.07007,4.4,181.56
395,18.3,3.6,3.03,16.43,15.41,6.15,90100.0,1.04,0.2291,3.6,63.46
396,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.18607,4.68,163.91
397,18.3,3.6,3.03,16.8,0.19,0.95,97200.0,1.06,0.04813,0.1,229.06
398,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.0195,0.1,30.45
399,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0897,0.1,23.81
400,18.3,3.6,3.03,14.17,0.11,0.07,1240.0,1.07,0.07097,0.1,30.45
401,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.17331,0.88,42.03
402,18.3,3.6,3.03,16.06,0.22,0.47,719000.0,1.06,0.0006,0.1,56.23
403,18.3,3.6,3.03,16.8,0.19,0.95,190500.0,2.29,0.057,0.1,25.71
404,18.3,3.6,3.03,16.06,0.22,0.47,181000.0,1.06,0.12,0.1,53.36
405,18.3,3.6,3.03,16.8,0.19,0.95,239000.0,2.78,0.0565,0.1,26.2
406,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.00805,2.3,56.23
407,18.3,3.6,3.03,16.06,0.22,0.47,46400.0,1.06,0.1605,0.1,39.29
408,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.18333,0.1,23.92
409,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.21249,15.12,21.93
410,18.3,3.6,3.03,16.05,3.63,9.16,235000.0,2.1,0.68151,0.1,110.8
411,18.3,3.6,3.03,16.43,15.41,6.15,90100.0,1.04,0.0738,1.8,67.1
412,14.0,6.51,6.76,15.11,15.72,38.81,151000.0,3.7,0.0076,0.1,106.8
413,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.06789,1.79,163.25
414,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.11556,14.05,29.02
415,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.17331,2.44,109.98
416,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.4173,0.1,143.5
417,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.15784,81.2,20.2
418,18.3,3.6,3.03,15.26,14.41,5.54,22000.0,1.03,0.16084,0.21,88.9
419,18.3,3.6,3.03,16.8,0.19,0.95,209000.0,2.13,0.0092,0.1,222.47
420,18.3,3.6,3.03,15.57,10.24,6.84,13500.0,1.06,0.17549,0.68,96.18
421,15.6,7.41,4.86,16.05,5.63,3.84,48600.0,1.05,0.1561,0.1,34.62
422,18.3,3.6,3.03,16.06,0.22,0.47,34900.0,1.06,0.09767,19.61,31.62
423,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.243,0.1,21.0
424,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.19629,5.01,21.52
425,14.0,6.51,6.76,15.11,15.72,38.81,8000.0,1.6,0.02676,0.1,280.9
426,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.1322,5.44,48.39
427,14.0,6.51,6.76,15.11,15.72,38.81,8420.0,1.25,0.14544,0.1,284.7
428,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.13206,1.34,42.07
429,15.6,7.41,4.86,17.31,5.07,12.86,280000.0,1.06,0.06581,0.1,76.97
430,17.2,3.53,1.84,16.43,15.41,6.15,85200.0,1.02,0.11377,3.53,38.03
431,17.5,2.82,2.73,16.06,0.22,0.47,20100.0,1.02,0.21277,0.1,32.04
