,SdssC,BIC4,Xc-5d,SRW09,IC0,nO,n6ARing,BIC3,NdO,SlogP_VSA2,JGI3,GGI4,C3SP2,AETA_beta_ns_d,SIC3,JGI10,RotRatio,SIC2,GhoseFilter,SlogP_VSA8,target
25,3.175858843537415,0.7572841896077427,0.9142634612365024,7.368339686311381,1.347912390625054,0,0,0.7263925730972646,0,0.0,0.0868055555555555,1.4533333333333336,4,0.0208333333333333,0.7611834233831932,0.0136210590756045,0.0769230769230769,0.6573873134223144,False,12.152040213667762,4.5224442
26,3.0633512849584283,0.7572841896077427,0.9142634612365024,7.368339686311381,1.347912390625054,0,0,0.7263925730972646,0,0.0,0.089781746031746,1.4533333333333336,4,0.0208333333333333,0.7611834233831932,0.0106113321769887,0.0769230769230769,0.6573873134223144,False,12.152040213667762,4.4313636
27,3.45844387755102,0.7572841896077427,0.9142634612365024,7.368339686311381,1.2174939521435744,0,0,0.708031802938852,0,0.0,0.0895833333333333,1.2622222222222224,4,0.0,0.7419432571111999,0.0092847668605244,0.08,0.6205513234645745,True,12.152040213667762,4.3944516
28,3.464449404761905,0.7324079827495171,0.9142634612365024,0.0,1.2069084251518167,0,1,0.6939947509294486,0,0.0,0.0610465116279069,2.168888888888889,4,0.0,0.724802548281467,0.0082440567289052,0.0769230769230769,0.6203554130933595,False,12.152040213667762,3.8864908
29,3.396804033341732,0.8562502419199873,0.963209588632904,7.390798521735676,1.3441997944563522,0,0,0.7891545414175141,0,0.0,0.0733506944444444,1.7733333333333337,6,0.0192307692307692,0.8445773874917964,0.0054663518299881,0.0689655172413793,0.6643439895263242,False,23.278943197061757,3.5682018
30,3.424472355168303,0.7920326016088085,1.3962222905251234,7.390798521735676,1.3009439800094456,0,0,0.7419896976658279,0,8.073872300533118,0.072145061728395,1.893333333333333,6,0.0,0.7812755021218997,0.0071322314049586,0.09375,0.6490205250330278,False,23.278943197061757,3.929419
31,2.6215031074158057,0.8562502419199873,0.963209588632904,7.390798521735676,1.4252897549506724,0,0,0.8051727213053372,0,0.0,0.0791666666666666,1.804444444444445,6,0.037037037037037,0.8617205347614435,0.0074793388429752,0.0666666666666666,0.6936350574823924,False,23.278943197061757,3.69897
32,3.382079449063576,0.8562502419199873,0.963209588632904,7.390798521735676,1.3441997944563522,0,0,0.8001866123126066,0,0.0,0.0733506944444444,1.6133333333333335,6,0.0192307692307692,0.8563842480320211,0.007018380048683,0.0689655172413793,0.676150850066549,False,23.278943197061757,3.9395192
33,3.418325197362896,0.7920326016088085,1.3962222905251234,7.390798521735676,1.1887525275231678,0,0,0.7442443688925757,0,0.0,0.0744598765432098,1.7333333333333338,7,0.0,0.7836495504413556,0.0065708601163146,0.0625,0.6055913850542233,False,23.278943197061757,3.7993405
34,2.734010665994793,0.8562502419199873,1.1298762552995707,7.390798521735676,1.4252897549506724,0,0,0.792177522368695,0,0.0,0.0727124183006535,1.804444444444445,6,0.037037037037037,0.8478126743971975,0.0084063984400684,0.0666666666666666,0.6797271971181463,False,23.278943197061757,4.041393
