,SdssC,Xc-5d,SRW09,SIC3,IC0,nO,BIC3,BIC4,NdO,n6ARing,GGI4,SlogP_VSA2,C3SP2,JGI3,JGI10,RotRatio,AETA_beta_ns_d,GhoseFilter,SlogP_VSA8,JGI4,target
66,4.00343318821764,0.5690355937288492,0.0,0.7394019544876336,1.2895281606953652,0,0.7394019544876336,0.8012182956260898,0,0,0.4,8.073872300533118,0,0.0592105263157894,0.0082644628099173,0.5333333333333333,0.0,True,0.0,0.025,1.5682018
67,3.800203451751071,0.8367876570272818,0.0,0.7992692562696264,1.4731864679927211,0,0.7684741986354218,0.8024376807937325,0,0,0.568888888888889,8.073872300533118,0,0.0684523809523809,0.0,0.1428571428571428,0.0,True,0.0,0.0334640522875817,0.9190781
68,3.52118464978584,0.7216878364870322,0.0,0.7523174970032673,1.4374366326883632,0,0.7266373400688226,0.7266373400688226,0,0,0.6622222222222224,8.073872300533118,1,0.0595238095238095,0.0,0.1333333333333333,0.0,True,6.076020106833881,0.0413888888888889,2.4313638
69,2.725432098765433,0.2886751345948128,0.0,0.9257048827786958,1.6493974703476992,0,0.8567517667623957,0.9255128526390366,0,0,0.3511111111111111,0.0,1,0.0528846153846153,0.0,0.0909090909090909,0.0,False,6.076020106833881,0.0390123456790123,1.5415792
70,0.0,2.25,0.0,0.9166666666666666,1.9056390622295665,0,0.979569764547061,0.979569764547061,0,0,0.0,12.056301962413816,0,0.0,0.0,0.1428571428571428,0.0,False,0.0,0.0,0.708093
71,0.0,0.0,0.0,0.6554587535412855,1.521928094887362,0,0.7609640474436811,0.7609640474436811,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.2045008
72,0.0,0.8073604499148398,7.83241092718792,0.7477552634519175,1.373336962476363,0,0.7362477604580814,0.7581858998874025,0,0,1.270555555555556,8.073872300533118,0,0.0830314009661835,0.0,0.0588235294117647,0.0,True,0.0,0.0847037037037037,2.968483
73,0.0,0.6875694891336299,7.635786861395585,0.7311877230179624,1.3968436982954155,0,0.724489503915154,0.7502959555280571,0,0,1.1483333333333337,8.073872300533118,0,0.0852623456790123,0.0,0.0714285714285714,0.0,True,0.0,0.0883333333333333,3.3852417
74,0.0,0.1666666666666666,0.0,0.6536042149571435,1.3516441151533924,0,0.6536042149571435,0.6536042149571435,0,1,0.2222222222222222,0.0,0,0.046875,0.0,0.0,0.0,False,0.0,0.1111111111111111,4.4641185
75,1.8171296296296295,0.6123724356957945,0.0,0.5565572721647433,1.3516441151533924,0,0.5565572721647433,0.5565572721647433,0,0,0.0,0.0,0,0.046875,0.0,0.0,0.0,False,0.0,0.0,2.5288944
76,0.4273842592592594,0.9309036597828996,6.898714534329988,0.8078347747194918,1.9579393553211155,1,0.7695203916807805,0.8403342309073832,0,0,1.96,0.0,1,0.0622222222222222,0.0,0.0588235294117647,0.0,False,6.076020106833881,0.0784,2.8745725
77,0.5315509259259261,0.9309036597828996,6.898714534329988,0.8078347747194918,1.957939355321115,0,0.7695203916807805,0.8403342309073832,0,0,1.96,0.0,1,0.0622222222222222,0.0,0.0588235294117647,0.0,False,6.076020106833881,0.0784,2.7230358
78,1.6487791320231795,1.9285113019775797,0.0,0.745292998299391,1.5178872290605931,1,0.7253363117738535,0.7253363117738535,0,0,1.0622222222222224,8.317393252699539,1,0.0462962962962962,0.0,0.1666666666666666,0.0277777777777777,True,6.076020106833881,0.0531111111111111,1.6812413
79,0.0,0.4368867239266071,6.823286122355687,0.7572327664479106,1.3968436982954155,0,0.750295955528057,0.750295955528057,0,0,0.8200000000000002,8.073872300533118,0,0.0920138888888889,0.0,0.1538461538461538,0.0,True,0.0,0.0546666666666666,1.7829328
80,0.0,0.3678511301977579,6.823286122355687,0.6941737681097224,1.3723775684811073,0,0.6899565586046739,0.7519966608350492,0,0,1.14,16.147744601066236,0,0.1066919191919192,0.0,0.2352941176470588,0.0,True,0.0,0.0438461538461538,1.5833498
81,0.0,0.0,6.529418838262226,0.9256603431473772,1.3599924922184878,0,0.9098110735370422,0.9098110735370422,0,0,0.205,0.0,0,0.0813492063492063,0.0,0.1111111111111111,0.0,False,0.0,0.041,1.0986024
82,0.0,0.0,0.0,0.90701901811629,1.4591479170272446,0,0.90701901811629,0.90701901811629,0,0,0.08,0.0,0,0.0416666666666666,0.0,0.4,0.0,False,0.0,0.04,1.8819095
83,0.0,0.0,0.0,0.8976167900760738,1.3995812306460644,0,0.8976167900760738,0.8976167900760738,0,0,0.08,0.0,0,0.03125,0.0,0.5,0.0,False,0.0,0.0266666666666666,2.3802114
84,0.0,1.9106532292788336,0.0,0.7364770586954896,1.3786011816680388,0,0.716118646878767,0.716118646878767,0,0,1.4711111111111117,8.073872300533118,1,0.0602678571428571,0.0,0.1176470588235294,0.0,True,6.076020106833881,0.0612962962962963,1.4948832
85,0.0,0.3434433619633035,0.0,0.8533608530766674,1.3786011816680388,0,0.8297714262641377,0.8297714262641377,0,0,1.2311111111111113,8.073872300533118,1,0.0651041666666666,0.0,0.2941176470588235,0.0,True,6.076020106833881,0.0512962962962963,1.2421023
86,0.0,0.3434433619633035,0.0,0.8027605837673154,1.2950243779198094,0,0.786894264314593,0.83677524432832,0,0,1.2311111111111113,8.073872300533118,1,0.0558035714285714,0.0059631103402147,0.4285714285714285,0.0,True,6.076020106833881,0.0439682539682539,1.6145045
