,temperature_C,NValance_composition_average,HeatFusion_arithmetic_average,valence_composition_average,ThermalConductivity_composition_average,ThirdIonizationEnergy_composition_average,ElectricalConductivity_arithmetic_average,MiracleRadius_composition_average,pH2O,IonicRadii_composition_average,BulkModulus_composition_average,ThermalExpansionCoefficient_composition_average,BCCfermi_composition_average,Density_composition_average,HHIr_composition_average,Polarizability_composition_average,CovalentRadii_composition_average,Column_composition_average,SpaceGroupNumber_composition_average,BCCenergy_pa_composition_average,SpecificHeatCapacity_composition_average,HeatCapacityMass_composition_average,BCCvolume_pa_composition_average,MendeleevNumber_composition_average,GSenergy_pa_composition_average,target
858,350.0,5.76,7.1296,2.640000000000001,19.825440000000004,43.81344,7.18,107.5,0.02,1.2256,30.96,475.406,3.363983,2160.2974,1130.0,8.117533333332,1.0642,11.76,97.0,-3.2079583406000003,0.68976,0.68916,18.3312,65.46000000000001,-4.5899862232,0.024509832
859,300.0,5.98,7.512499999999998,2.38,22.66104,43.98372,6.199999999999998,101.3,0.05,1.2039999999999995,41.04,471.986,4.5059059152,2939.7374,1458.0,8.090200000000001,0.9332,11.98,85.42,-3.768682691800001,0.6764,0.6762199999999999,14.288800000000002,66.3,-5.1907675573,0.024509832
860,300.0,5.960000000000001,7.512499999999998,2.3600000000000003,22.461640000000006,44.47224,6.199999999999998,101.8,0.05,1.206,40.48,472.332,4.3846182524,2869.4174,1456.0,7.979200000000001,0.9464,11.96,86.04,-3.7063241996,0.6786000000000001,0.6784399999999999,14.5976,66.2,-5.1258729056,0.019962265
861,300.0,5.94,7.512499999999998,2.34,22.26224,44.96076,6.199999999999998,102.3,0.05,1.2079999999999995,39.92,472.67800000000005,4.2633305896000016,2799.0974,1454.0,7.868200000000001,0.9596,11.94,86.66,-3.643965707400001,0.6808000000000001,0.6806599999999999,14.906399999999998,66.1,-5.0609782539,0.019962265
862,300.0,5.92,7.512499999999998,2.3200000000000003,22.06284,45.44928,6.199999999999998,102.8,0.05,1.21,39.36,473.024,4.1420429268,2728.7774,1452.0,7.7572,0.9728,11.92,87.28,-3.5816072152,0.6829999999999999,0.6828799999999999,15.2152,66.0,-4.996083602200001,0.016700871
863,300.0,5.9,7.512499999999998,2.3,21.86344,45.9378,6.199999999999998,103.3,0.05,1.2119999999999995,38.8,473.37,4.020755264,2658.4574,1450.0,7.646200000000001,0.986,11.9,87.89999999999998,-3.5192487230000005,0.6852,0.6850999999999999,15.524,65.9,-4.9311889505,0.016700871
864,300.0,5.880000000000001,7.512499999999998,2.28,21.66404,46.42632,6.199999999999998,103.8,0.05,1.214,38.24,473.716,3.8994676012,2588.1374,1448.0,7.5352000000000015,0.9992,11.88,88.52,-3.4568902308,0.6874,0.6873199999999999,15.8328,65.8,-4.8662942988,0.042331295
865,300.0,5.859999999999999,7.512499999999998,2.26,21.464640000000006,46.914840000000005,6.199999999999998,104.3,0.05,1.2159999999999995,37.68,474.062,3.7781799384,2517.8174,1446.0,7.4242,1.0124,11.86,89.14,-3.3945317386000005,0.6896,0.6895399999999999,16.141599999999997,65.7,-4.8013996471,0.042331295
866,300.0,5.88,8.772,2.44,21.270840000000003,45.33532,7.199999999999998,102.8,0.05,1.206,38.96,472.976,4.154486074399999,2687.7374,1400.0,7.7932000000000015,0.9731999999999998,11.88,88.68,-3.6338231268,0.6841200000000001,0.6839999999999999,15.2268,65.88,-5.0442874108,0.038586393
867,300.0,5.84,8.772,2.56,20.47884,45.22136,7.199999999999998,102.8,0.05,1.202,38.56,472.92800000000005,4.166929222,2646.6974,1348.0,7.8292,0.9736,11.84,90.08,-3.6860390384000006,0.6852400000000001,0.68512,15.2384,65.76,-5.0924912194,0.038586393
