,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,target
106,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,15.799217224121094
107,50.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,6.485195636749268
108,50.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,4.179852485656738
109,50.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.8002722263336182
110,50.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-5.80241060256958
111,50.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-6.323459625244141
112,50.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-5.391328811645508
113,50.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-4.5464701652526855
114,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-2.377570390701294
115,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-1.455503225326538
116,50.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.1001406908035278
117,50.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,14.20591640472412
118,50.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,30.32523727416992
119,50.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,2.168812990188598
120,50.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.5481737852096558
121,50.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,-0.0872015953063964
122,50.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,-0.4805771112442016
123,50.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.593997597694397
124,50.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.2218239307403564
125,50.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,2.564317464828491
126,50.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,2.040306806564331
127,50.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,2.6206486225128174
128,50.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,-1.6092743873596191
129,50.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,-1.024155616760254
130,50.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.3918756246566772
131,50.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,12.161314964294434
132,50.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,26.977296829223636
133,50.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,23.651243209838867
