,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,target
112,50.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-14.83293342590332
113,50.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-8.361693382263184
114,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10.267090797424316
115,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,17.11745834350586
116,50.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1264106035232544
117,50.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3498189449310305
118,50.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.2684414386749268
119,50.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,31.702396392822266
120,50.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,50.81430435180664
121,50.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,40.87768173217773
122,50.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,29.228307723999023
123,50.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,23.21932411193848
124,50.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,32.4447021484375
125,50.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,53.988380432128906
126,50.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,83.68560791015625
127,50.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,119.21089935302734
128,50.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,6.8003668785095215
129,50.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,3.867025852203369
130,50.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,6.591322422027588
131,50.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,11.213525772094728
132,50.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,6.3639817237854
133,50.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,4.357612609863281
134,50.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,1.844498872756958
135,50.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,32.35338592529297
136,50.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,97.81076049804688
137,50.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,-41.932838439941406
138,50.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,-21.98056411743164
139,50.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,-7.709401130676269
140,50.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,7.902986526489258
141,50.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,34.39141845703125
142,50.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,29.55228614807129
143,50.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,40.75539016723633
144,50.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,56.31072998046875
145,50.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,113.12957763671876
146,50.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,-1.1939337253570557
147,50.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,-0.5750774145126343
148,50.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0173643827438354
149,50.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.3939419984817505
150,50.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.4074659347534179
151,50.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,9.375672340393066
152,50.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,34.18197250366211
153,50.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,80.67679595947266
154,50.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,130.83558654785156
155,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,-0.2342691421508789
156,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.3043115139007568
157,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,1.4870519638061523
158,50.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,2.803738832473755
159,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,3.158577442169189
160,50.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,6.427921295166016
161,50.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,24.80845832824707
162,50.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,75.90388488769531
163,50.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,117.6779556274414
164,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,-10.861810684204102
165,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,8.459571838378906
166,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,6.6700873374938965
167,50.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,7.199379920959473
168,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2.471168279647827
169,50.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.6665456295013428
170,50.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,1.0969412326812744
171,50.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,8.60305404663086
172,50.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,52.04365921020508
173,50.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,6.358371257781982
174,50.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,5.343659400939941
175,50.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,2.638000965118408
176,50.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.9820475578308103
177,50.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.024359941482544
178,50.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,2.560945749282837
179,50.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,2.9256038665771484
180,50.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,6.66923713684082
181,50.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,13.310473442077637
182,50.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,-42.86899566650391
183,50.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,-23.913389205932617
184,50.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,-14.403045654296877
185,50.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,-12.158227920532228
186,50.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,-9.71056842803955
187,50.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,-6.974186420440674
188,50.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.7686818838119507
189,50.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,4.704537868499756
190,50.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,15.746694564819336
191,50.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,-1.1006476879119873
192,50.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.9577361345291138
193,50.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,7.43710994720459
194,50.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,17.99991226196289
195,50.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,27.331737518310547
196,50.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,34.352291107177734
197,50.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,70.4449691772461
198,50.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,56.83968353271485
199,50.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,35.604469299316406
200,50.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,-1.1004571914672852
201,50.0,0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,-1.4960689544677734
202,50.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,-0.1136845350265502
203,50.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,7.218894958496094
204,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,20.224504470825195
205,50.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,36.63776779174805
206,50.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,39.29829788208008
207,50.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,33.24817657470703
208,50.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,27.76866149902344
209,50.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,-13.509164810180664
210,50.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,23.764781951904297
211,50.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,41.45320129394531
212,50.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,116.93543243408205
213,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,155.7516632080078
214,50.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,164.50341796875
215,50.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,148.92593383789062
216,50.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,114.18245697021484
217,50.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,57.0068473815918
218,50.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,-47.45420837402344
219,50.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,-38.61342239379883
220,50.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,-25.27818298339844
221,50.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,-9.885245323181152
222,50.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,-3.5399131774902344
223,50.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,23.09990882873535
224,50.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,24.0118408203125
225,50.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,19.673002243041992
226,50.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,18.57707405090332
227,50.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,-1.209597110748291
228,50.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0654656887054443
229,50.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,2.8535315990448
230,50.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,9.665188789367676
231,50.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,12.97269058227539
232,50.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,16.005741119384766
233,50.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,15.643529891967772
234,50.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,14.867470741271973
235,50.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,10.750678062438965
236,50.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,-0.4854953289031982
237,50.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,-0.2747132778167724
238,50.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,-0.1676136255264282
239,50.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,-0.0438859462738037
240,50.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.1812328100204467
241,50.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.7329143285751343
242,50.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.4645155668258667
243,50.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,2.420906543731689
244,50.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,4.361587047576904
245,50.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,-18.39938735961914
246,50.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.8,-8.515024185180664
247,50.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,2.2266030311584477
248,50.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,3.1194376945495605
249,50.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,3.3177919387817383
250,50.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,3.476132392883301
251,50.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,4.05700159072876
252,50.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,15.2305908203125
253,50.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,20.039695739746094
254,50.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,-1.0120768547058103
255,50.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,-0.458751916885376
256,50.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,-1.694122552871704
257,50.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,-0.6177327632904053
258,50.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.5048832893371582
259,50.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,-8.587366104125977
260,50.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,-13.534201622009276
261,50.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,-19.69639778137207
262,50.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,-41.58967971801758
263,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,-1.6037580966949463
264,50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,-1.6491386890411377
265,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,1.4669904708862305
266,50.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,83.90132904052734
267,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,-13.063091278076172
268,50.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,-24.463043212890625
269,50.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,-33.93620300292969
270,50.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,-42.11497497558594
271,50.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,-48.87267303466797
272,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,-30.086841583251957
273,50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,-32.61185836791992
274,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,-35.7906494140625
275,50.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,-38.57696914672852
276,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-41.14822006225586
277,50.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,-44.210670471191406
278,50.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,-46.97236633300781
279,50.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,-49.6839714050293
280,50.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,-52.30051040649414
281,50.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.8165068626403809
282,50.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,4.0085554122924805
283,50.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.857648491859436
284,50.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,-0.9692354202270508
285,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,-1.0012047290802002
286,50.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,-1.3125250339508057
287,50.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,-1.660322666168213
288,50.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,-1.6422159671783447
289,50.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,-1.6435503959655762
