,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,target
82,50.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,25.558807373046875
83,50.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,133.94570922851562
84,50.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,90.53617095947266
85,50.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,65.95079803466797
86,50.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,44.91255569458008
87,50.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,29.39295959472656
88,50.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,31.06594467163086
89,50.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,20.313364028930664
90,50.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,17.96038818359375
91,50.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,14.726518630981444
92,50.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,30.85365867614746
93,50.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,29.792011260986328
94,50.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,23.71588897705078
95,50.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,15.452821731567385
96,50.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,11.803197860717772
97,50.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,12.272539138793944
98,50.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,14.370964050292969
99,50.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,16.717195510864258
100,50.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,19.91067886352539
101,50.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.4087996482849121
102,50.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0791511535644531
103,50.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.825366735458374
104,50.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,5.011316776275635
105,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10.14199161529541
106,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,26.84149169921875
107,50.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,29.575828552246094
108,50.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,31.80967712402344
109,50.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,33.21096420288086
110,50.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-1.88226580619812
111,50.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.51292085647583
112,50.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,49.95322799682617
113,50.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,40.52096939086914
114,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,32.83682632446289
115,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,27.47777366638184
116,50.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,22.799898147583008
117,50.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,18.739585876464844
118,50.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,19.76643180847168
119,50.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,39.33134841918945
120,50.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10.243228912353516
121,50.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,1.0741734504699707
122,50.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,-0.7638064622879028
123,50.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-1.5417513847351074
124,50.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,-1.0563712120056152
125,50.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,-0.367185115814209
126,50.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.9996691942214966
127,50.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,1.647636651992798
128,50.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,7.303192138671875
129,50.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,9.00220012664795
130,50.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,13.80186653137207
131,50.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,19.58488273620605
132,50.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,28.04734992980957
133,50.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,29.61519432067871
134,50.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,17.965044021606445
135,50.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,11.217432022094728
